Obs_Numb,Date_Time,Temp_F,,,,,,
95,4/11/2022 12:00,77.509,,,,,,
96,4/12/2022 0:00,53.121,,,,,,
97,4/12/2022 12:00,78.471,,,,,,
98,4/13/2022 0:00,58.325,,,,,,
99,4/13/2022 12:00,61.934,,,,,,
100,4/14/2022 0:00,59.272,,,,,,
101,4/14/2022 12:00,57.506,,,,,,
102,4/15/2022 0:00,58.541,,,,,,
103,4/15/2022 12:00,69.901,,,,,,
104,4/16/2022 0:00,63.262,,,,,,
105,4/16/2022 12:00,79.831,,,,,,
106,4/17/2022 0:00,56.251,,,,,,
107,4/17/2022 12:00,67.714,,,,,,
108,4/18/2022 0:00,57.29,,,,,,
109,4/18/2022 12:00,69.085,,,,,,
110,4/19/2022 0:00,63.561,,,,,,
111,4/19/2022 12:00,68.871,,,,,,
112,4/20/2022 0:00,60.217,,,,,,
113,4/20/2022 12:00,72.523,,,,,,
114,4/21/2022 0:00,61.248,,,,,,
115,4/21/2022 12:00,65.102,,,,,,
116,4/22/2022 0:00,58.411,,,,,,
117,4/22/2022 12:00,73.774,,,,,,
118,4/23/2022 0:00,60.733,,,,,,
119,4/23/2022 12:00,74.554,,,,,,
120,4/24/2022 0:00,65.53,,,,,,
121,4/24/2022 12:00,79.524,,,,,,
122,4/25/2022 0:00,63.862,,,,,,
123,4/25/2022 12:00,87.436,,,,,,
124,4/26/2022 0:00,70.974,,,,,,
125,4/26/2022 12:00,73.558,,,,,,
126,4/27/2022 0:00,64.589,,,,,,
127,4/27/2022 12:00,58.498,,,,,,
128,4/28/2022 0:00,61.677,,,,,,
129,4/28/2022 12:00,68.356,,,,,,
130,4/29/2022 0:00,63.475,,,,,,
131,4/29/2022 12:00,68.871,,,,,,
132,4/30/2022 0:00,69.213,,,,,,
133,4/30/2022 12:00,71.92,,,,,,
134,5/1/2022 0:00,58.755,,,,,,
135,5/1/2022 12:00,64.375,,,,,,
136,5/2/2022 0:00,72.61,,,,,,
137,5/2/2022 12:00,68.999,,,,,,
138,5/3/2022 0:00,73.731,,,,,,
139,5/3/2022 12:00,69.814,,,,,,
140,5/4/2022 0:00,76.246,,,,,,
141,5/4/2022 12:00,72.48,,,,,,
142,5/5/2022 0:00,73.904,,,,,,
143,5/5/2022 12:00,71.447,,,,,,
144,5/6/2022 0:00,72.05,,,,,,
145,5/6/2022 12:00,71.103,,,,,,
146,5/7/2022 0:00,71.577,,,,,,
147,5/7/2022 12:00,69.471,,,,,,
148,5/8/2022 0:00,70.759,,,,,,
149,5/8/2022 12:00,67.842,,,,,,
150,5/9/2022 0:00,67.586,,,,,,
151,5/9/2022 12:00,65.444,,,,,,
152,5/10/2022 0:00,68.142,,,,,,
153,5/10/2022 12:00,66.385,,,,,,
154,5/11/2022 0:00,68.742,,,,,,
155,5/11/2022 12:00,66.814,,,,,,
156,5/12/2022 0:00,68.614,,,,,,
157,5/12/2022 12:00,72.264,,,,,,
158,5/12/2022 15:00,,,,Logged,Logged,,
159,5/12/2022 15:00,,,,,,Logged,Logged
