Species,Day,Date,Rep,SH_Tide,SH_Temp,MHW,Tank,L,W
Magallana gigas,19,NA,1,No Tide,21,15,1,3.222,2.248
Magallana gigas,19,NA,2,No Tide,21,15,1,2.585,1.915
Magallana gigas,19,NA,3,No Tide,21,15,1,3.242,1.765
Magallana gigas,19,NA,4,No Tide,21,15,1,2.464,1.978
Magallana gigas,19,NA,5,No Tide,21,15,1,2.529,1.817
Magallana gigas,19,NA,6,No Tide,21,15,1,3.548,1.752
Magallana gigas,19,NA,7,No Tide,21,15,1,2.955,1.763
Magallana gigas,19,NA,8,No Tide,21,15,1,3.47,2.19
Magallana gigas,19,NA,9,No Tide,21,15,1,3.314,2.053
Magallana gigas,19,NA,10,No Tide,21,15,1,2.892,1.595
Magallana gigas,19,NA,1,Tide,15,15,2,3.617,1.99
Magallana gigas,19,NA,2,Tide,15,15,2,3.023,1.769
Magallana gigas,19,NA,3,Tide,15,15,2,2.369,1.872
Magallana gigas,19,NA,4,Tide,15,15,2,2.869,1.768
Magallana gigas,19,NA,5,Tide,15,15,2,3.011,1.862
Magallana gigas,19,NA,6,Tide,15,15,2,2.846,1.684
Magallana gigas,19,NA,7,Tide,15,15,2,3.608,1.769
Magallana gigas,19,NA,8,Tide,15,15,2,2.494,1.838
Magallana gigas,19,NA,9,Tide,15,15,2,2.298,1.955
Magallana gigas,19,NA,10,Tide,15,15,2,2.579,1.637
Magallana gigas,19,NA,1,Tide,21,15,2,2.834,2.413
Magallana gigas,19,NA,2,Tide,21,15,2,2.793,2.244
Magallana gigas,19,NA,3,Tide,21,15,2,2.574,1.761
Magallana gigas,19,NA,4,Tide,21,15,2,3.059,2.065
Magallana gigas,19,NA,5,Tide,21,15,2,2.45,1.9
Magallana gigas,19,NA,6,Tide,21,15,2,2.507,1.734
Magallana gigas,19,NA,7,Tide,21,15,2,2.256,1.686
Magallana gigas,19,NA,8,Tide,21,15,2,2.836,1.574
Magallana gigas,19,NA,9,Tide,21,15,2,2.988,2.019
Magallana gigas,19,NA,10,Tide,21,15,2,2.331,1.93
Magallana gigas,19,NA,1,No Tide,15,15,2,3.396,1.926
Magallana gigas,19,NA,2,No Tide,15,15,2,3.164,1.788
Magallana gigas,19,NA,3,No Tide,15,15,2,2.451,1.862
Magallana gigas,19,NA,4,No Tide,15,15,2,2.553,1.673
Magallana gigas,19,NA,5,No Tide,15,15,2,2.097,1.649
Magallana gigas,19,NA,6,No Tide,15,15,2,2.797,1.761
Magallana gigas,19,NA,7,No Tide,15,15,2,2.761,1.791
Magallana gigas,19,NA,8,No Tide,15,15,2,2.796,1.796
Magallana gigas,19,NA,9,No Tide,15,15,2,3.278,1.841
Magallana gigas,19,NA,10,No Tide,15,15,2,3.272,1.918
Magallana gigas,19,NA,1,No Tide,21,15,2,2.913,2.246
Magallana gigas,19,NA,2,No Tide,21,15,2,2.817,1.658
Magallana gigas,19,NA,3,No Tide,21,15,2,2.872,2.328
Magallana gigas,19,NA,4,No Tide,21,15,2,2.959,1.948
Magallana gigas,19,NA,5,No Tide,21,15,2,2.354,1.537
Magallana gigas,19,NA,6,No Tide,21,15,2,3.059,1.976
Magallana gigas,19,NA,7,No Tide,21,15,2,3.385,1.755
Magallana gigas,19,NA,8,No Tide,21,15,2,2.342,2.206
Magallana gigas,19,NA,9,No Tide,21,15,2,3.119,1.964
Magallana gigas,19,NA,10,No Tide,21,15,2,2.499,1.761
Magallana gigas,19,NA,1,Tide,15,15,3,3.042,2.008
Magallana gigas,19,NA,2,Tide,15,15,3,3.083,1.683
Magallana gigas,19,NA,3,Tide,15,15,3,2.375,1.778
Magallana gigas,19,NA,4,Tide,15,15,3,2.612,1.7
Magallana gigas,19,NA,5,Tide,15,15,3,2.823,1.919
Magallana gigas,19,NA,6,Tide,15,15,3,2.319,1.504
Magallana gigas,19,NA,7,Tide,15,15,3,2.899,2.042
Magallana gigas,19,NA,8,Tide,15,15,3,2.611,1.889
Magallana gigas,19,NA,9,Tide,15,15,3,2.711,1.528
Magallana gigas,19,NA,10,Tide,15,15,3,2.297,1.878
Magallana gigas,19,NA,1,Tide,21,15,3,2.435,1.965
Magallana gigas,19,NA,2,Tide,21,15,3,3.185,2.368
Magallana gigas,19,NA,3,Tide,21,15,3,2.844,1.756
Magallana gigas,19,NA,4,Tide,21,15,3,3.176,1.934
Magallana gigas,19,NA,5,Tide,21,15,3,3.066,1.628
Magallana gigas,19,NA,6,Tide,21,15,3,2.803,1.667
Magallana gigas,19,NA,7,Tide,21,15,3,2.265,2.222
Magallana gigas,19,NA,8,Tide,21,15,3,2.286,1.652
Magallana gigas,19,NA,9,Tide,21,15,3,2.555,1.801
Magallana gigas,19,NA,10,Tide,21,15,3,2.591,1.71
Magallana gigas,19,NA,1,No Tide,15,15,3,2.46,1.862
Magallana gigas,19,NA,2,No Tide,15,15,3,3.115,1.708
Magallana gigas,19,NA,3,No Tide,15,15,3,3.301,1.756
Magallana gigas,19,NA,4,No Tide,15,15,3,2.617,1.543
Magallana gigas,19,NA,5,No Tide,15,15,3,3.281,1.699
Magallana gigas,19,NA,6,No Tide,15,15,3,2.412,1.667
Magallana gigas,19,NA,7,No Tide,15,15,3,3.598,2.031
Magallana gigas,19,NA,8,No Tide,15,15,3,2.573,1.864
Magallana gigas,19,NA,9,No Tide,15,15,3,2.723,1.944
Magallana gigas,19,NA,10,No Tide,15,15,3,2.95,1.903
Magallana gigas,19,NA,1,No Tide,21,15,3,2.88,2.056
Magallana gigas,19,NA,2,No Tide,21,15,3,3.571,2.008
Magallana gigas,19,NA,3,No Tide,21,15,3,3.069,2.069
Magallana gigas,19,NA,4,No Tide,21,15,3,1.998,1.73
Magallana gigas,19,NA,5,No Tide,21,15,3,2.408,1.804
Magallana gigas,19,NA,6,No Tide,21,15,3,2.155,2.088
Magallana gigas,19,NA,7,No Tide,21,15,3,2.91,1.644
Magallana gigas,19,NA,8,No Tide,21,15,3,2.43,1.878
Magallana gigas,19,NA,9,No Tide,21,15,3,1.981,1.903
Magallana gigas,19,NA,10,No Tide,21,15,3,2.873,1.972
Magallana gigas,19,NA,1,Tide,15,15,4,3.178,1.726
Magallana gigas,19,NA,2,Tide,15,15,4,2.624,1.785
Magallana gigas,19,NA,3,Tide,15,15,4,1.933,1.583
Magallana gigas,19,NA,4,Tide,15,15,4,2.467,1.765
Magallana gigas,19,NA,5,Tide,15,15,4,2.704,1.676
Magallana gigas,19,NA,6,Tide,15,15,4,2.272,1.784
Magallana gigas,19,NA,7,Tide,15,15,4,2.423,1.608
Magallana gigas,19,NA,8,Tide,15,15,4,2.478,1.577
Magallana gigas,19,NA,9,Tide,15,15,4,3.255,2.027
Magallana gigas,19,NA,10,Tide,15,15,4,2.598,1.765
Magallana gigas,19,NA,1,Tide,21,15,4,2.619,2.04
Magallana gigas,19,NA,2,Tide,21,15,4,2.88,1.506
Magallana gigas,19,NA,3,Tide,21,15,4,2.107,1.879
Magallana gigas,19,NA,4,Tide,21,15,4,2.623,1.763
Magallana gigas,19,NA,5,Tide,21,15,4,2.924,1.967
Magallana gigas,19,NA,6,Tide,21,15,4,2.211,1.738
Magallana gigas,19,NA,7,Tide,21,15,4,2.41,1.514
Magallana gigas,19,NA,8,Tide,21,15,4,2.599,1.882
Magallana gigas,19,NA,9,Tide,21,15,4,3.017,1.921
Magallana gigas,19,NA,10,Tide,21,15,4,3.035,1.744
Magallana gigas,19,NA,1,No Tide,15,15,4,2.164,1.797
Magallana gigas,19,NA,2,No Tide,15,15,4,3.634,2.013
Magallana gigas,19,NA,3,No Tide,15,15,4,3.168,1.829
Magallana gigas,19,NA,4,No Tide,15,15,4,3.044,1.436
Magallana gigas,19,NA,5,No Tide,15,15,4,2.708,1.608
Magallana gigas,19,NA,6,No Tide,15,15,4,3.108,1.932
Magallana gigas,19,NA,7,No Tide,15,15,4,2.346,1.977
Magallana gigas,19,NA,8,No Tide,15,15,4,2.964,2.04
Magallana gigas,19,NA,9,No Tide,15,15,4,2.53,1.583
Magallana gigas,19,NA,10,No Tide,15,15,4,2.087,1.771
Magallana gigas,19,NA,1,No Tide,21,15,4,2.677,1.716
Magallana gigas,19,NA,2,No Tide,21,15,4,2.881,1.847
Magallana gigas,19,NA,3,No Tide,21,15,4,3.072,1.932
Magallana gigas,19,NA,4,No Tide,21,15,4,3.216,1.557
Magallana gigas,19,NA,5,No Tide,21,15,4,2.609,1.946
Magallana gigas,19,NA,6,No Tide,21,15,4,2.392,1.892
Magallana gigas,19,NA,7,No Tide,21,15,4,2.555,1.758
Magallana gigas,19,NA,8,No Tide,21,15,4,2.814,1.838
Magallana gigas,19,NA,9,No Tide,21,15,4,3.121,1.594
Magallana gigas,19,NA,10,No Tide,21,15,4,2.726,1.676
Magallana gigas,19,NA,1,Tide,15,15,5,2.238,1.759
Magallana gigas,19,NA,2,Tide,15,15,5,2.462,1.739
Magallana gigas,19,NA,3,Tide,15,15,5,2.161,1.474
Magallana gigas,19,NA,4,Tide,15,15,5,2.76,1.803
Magallana gigas,19,NA,5,Tide,15,15,5,2.786,1.663
Magallana gigas,19,NA,6,Tide,15,15,5,2.573,1.802
Magallana gigas,19,NA,7,Tide,15,15,5,2.626,1.702
Magallana gigas,19,NA,8,Tide,15,15,5,2.589,1.807
Magallana gigas,19,NA,9,Tide,15,15,5,2.167,1.537
Magallana gigas,19,NA,10,Tide,15,15,5,2.044,1.479
Magallana gigas,19,NA,1,Tide,21,15,5,3.254,1.63
Magallana gigas,19,NA,2,Tide,21,15,5,2.073,1.61
Magallana gigas,19,NA,3,Tide,21,15,5,2.655,2.183
Magallana gigas,19,NA,4,Tide,21,15,5,2.802,1.922
Magallana gigas,19,NA,5,Tide,21,15,5,2.553,1.57
Magallana gigas,19,NA,6,Tide,21,15,5,2.664,1.909
Magallana gigas,19,NA,7,Tide,21,15,5,2.594,1.637
Magallana gigas,19,NA,8,Tide,21,15,5,2.27,2.021
Magallana gigas,19,NA,9,Tide,21,15,5,2.459,2.073
Magallana gigas,19,NA,10,Tide,21,15,5,2.737,1.771
Magallana gigas,19,NA,1,No Tide,15,15,5,3.438,2.279
Magallana gigas,19,NA,2,No Tide,15,15,5,3.19,1.854
Magallana gigas,19,NA,3,No Tide,15,15,5,2.754,1.82
Magallana gigas,19,NA,4,No Tide,15,15,5,2.837,1.73
Magallana gigas,19,NA,5,No Tide,15,15,5,2.691,1.872
Magallana gigas,19,NA,6,No Tide,15,15,5,2.307,1.841
Magallana gigas,19,NA,7,No Tide,15,15,5,2.996,1.816
Magallana gigas,19,NA,8,No Tide,15,15,5,3.395,1.885
Magallana gigas,19,NA,9,No Tide,15,15,5,3.419,2.471
Magallana gigas,19,NA,10,No Tide,15,15,5,2.801,1.387
Magallana gigas,19,NA,1,No Tide,21,15,5,2.678,1.854
Magallana gigas,19,NA,2,No Tide,21,15,5,2.623,1.738
Magallana gigas,19,NA,3,No Tide,21,15,5,2.526,1.978
Magallana gigas,19,NA,4,No Tide,21,15,5,2.66,2.152
Magallana gigas,19,NA,5,No Tide,21,15,5,3.405,2.02
Magallana gigas,19,NA,6,No Tide,21,15,5,2.801,1.785
Magallana gigas,19,NA,7,No Tide,21,15,5,3.001,2.255
Magallana gigas,19,NA,8,No Tide,21,15,5,3.216,2.639
Magallana gigas,19,NA,9,No Tide,21,15,5,3.062,2.185
Magallana gigas,19,NA,10,No Tide,21,15,5,2.921,1.717
Magallana gigas,19,NA,1,Tide,15,18,6,2.657,1.565
Magallana gigas,19,NA,2,Tide,15,18,6,3.092,2.086
Magallana gigas,19,NA,3,Tide,15,18,6,2.482,1.797
Magallana gigas,19,NA,4,Tide,15,18,6,3.182,1.744
Magallana gigas,19,NA,5,Tide,15,18,6,2.415,2.189
Magallana gigas,19,NA,6,Tide,15,18,6,1.936,2.01
Magallana gigas,19,NA,7,Tide,15,18,6,2.841,1.801
Magallana gigas,19,NA,8,Tide,15,18,6,2.45,1.658
Magallana gigas,19,NA,9,Tide,15,18,6,2.055,1.649
Magallana gigas,19,NA,10,Tide,15,18,6,2.947,1.7
Magallana gigas,19,NA,1,Tide,21,18,6,2.092,1.846
Magallana gigas,19,NA,2,Tide,21,18,6,2.351,2.054
Magallana gigas,19,NA,3,Tide,21,18,6,3.269,1.631
Magallana gigas,19,NA,4,Tide,21,18,6,2.763,1.744
Magallana gigas,19,NA,5,Tide,21,18,6,2.575,1.736
Magallana gigas,19,NA,6,Tide,21,18,6,2.546,1.65
Magallana gigas,19,NA,7,Tide,21,18,6,3.008,1.638
Magallana gigas,19,NA,8,Tide,21,18,6,2.259,1.844
Magallana gigas,19,NA,9,Tide,21,18,6,2.42,1.711
Magallana gigas,19,NA,10,Tide,21,18,6,2.628,1.86
Magallana gigas,19,NA,1,No Tide,15,18,6,2.926,2.131
Magallana gigas,19,NA,2,No Tide,15,18,6,2.25,1.845
Magallana gigas,19,NA,3,No Tide,15,18,6,3.344,2.314
Magallana gigas,19,NA,4,No Tide,15,18,6,3.103,1.839
Magallana gigas,19,NA,5,No Tide,15,18,6,2.21,2.083
Magallana gigas,19,NA,6,No Tide,15,18,6,2.733,1.781
Magallana gigas,19,NA,7,No Tide,15,18,6,2.569,1.856
Magallana gigas,19,NA,8,No Tide,15,18,6,3.031,1.824
Magallana gigas,19,NA,9,No Tide,15,18,6,2.686,2.05
Magallana gigas,19,NA,10,No Tide,15,18,6,2.391,2.047
Magallana gigas,19,NA,1,No Tide,21,18,6,3.128,1.753
Magallana gigas,19,NA,2,No Tide,21,18,6,3.709,1.864
Magallana gigas,19,NA,3,No Tide,21,18,6,2.36,1.776
Magallana gigas,19,NA,4,No Tide,21,18,6,3.104,1.822
Magallana gigas,19,NA,5,No Tide,21,18,6,3.601,2.028
Magallana gigas,19,NA,6,No Tide,21,18,6,3.392,1.516
Magallana gigas,19,NA,7,No Tide,21,18,6,2.766,1.775
Magallana gigas,19,NA,8,No Tide,21,18,6,3.048,1.83
Magallana gigas,19,NA,1,Tide,15,18,7,2.733,2.164
Magallana gigas,19,NA,2,Tide,15,18,7,2.632,1.906
Magallana gigas,19,NA,3,Tide,15,18,7,2.406,1.863
Magallana gigas,19,NA,4,Tide,15,18,7,2.753,1.633
Magallana gigas,19,NA,5,Tide,15,18,7,2.178,1.68
Magallana gigas,19,NA,6,Tide,15,18,7,2.666,1.667
Magallana gigas,19,NA,7,Tide,15,18,7,2.164,1.806
Magallana gigas,19,NA,8,Tide,15,18,7,2.245,1.865
Magallana gigas,19,NA,9,Tide,15,18,7,2.592,1.987
Magallana gigas,19,NA,10,Tide,15,18,7,2.338,1.544
Magallana gigas,19,NA,1,Tide,21,18,7,2.824,1.648
Magallana gigas,19,NA,2,Tide,21,18,7,2.792,1.972
Magallana gigas,19,NA,3,Tide,21,18,7,2.627,2.077
Magallana gigas,19,NA,4,Tide,21,18,7,3.139,1.751
Magallana gigas,19,NA,5,Tide,21,18,7,2.736,1.741
Magallana gigas,19,NA,6,Tide,21,18,7,2.882,1.876
Magallana gigas,19,NA,7,Tide,21,18,7,2.844,1.754
Magallana gigas,19,NA,8,Tide,21,18,7,2.162,2.019
Magallana gigas,19,NA,9,Tide,21,18,7,3.346,1.809
Magallana gigas,19,NA,10,Tide,21,18,7,2.683,1.963
Magallana gigas,19,NA,1,No Tide,15,18,7,2.665,1.91
Magallana gigas,19,NA,2,No Tide,15,18,7,2.749,2.394
Magallana gigas,19,NA,3,No Tide,15,18,7,2.605,1.972
Magallana gigas,19,NA,4,No Tide,15,18,7,2.858,2.137
Magallana gigas,19,NA,5,No Tide,15,18,7,3.29,2.311
Magallana gigas,19,NA,6,No Tide,15,18,7,2.245,1.77
Magallana gigas,19,NA,7,No Tide,15,18,7,2.424,1.981
Magallana gigas,19,NA,8,No Tide,15,18,7,2.543,1.845
Magallana gigas,19,NA,9,No Tide,15,18,7,2.912,1.606
Magallana gigas,19,NA,10,No Tide,15,18,7,2.855,1.756
Magallana gigas,19,NA,1,No Tide,21,18,7,2.717,1.71
Magallana gigas,19,NA,2,No Tide,21,18,7,2.238,1.938
Magallana gigas,19,NA,3,No Tide,21,18,7,3.345,1.69
Magallana gigas,19,NA,4,No Tide,21,18,7,2.625,1.849
Magallana gigas,19,NA,5,No Tide,21,18,7,3.168,1.89
Magallana gigas,19,NA,6,No Tide,21,18,7,3.237,2.186
Magallana gigas,19,NA,7,No Tide,21,18,7,3.374,1.824
Magallana gigas,19,NA,8,No Tide,21,18,7,2.506,1.781
Magallana gigas,19,NA,9,No Tide,21,18,7,3.017,2.117
Magallana gigas,19,NA,10,No Tide,21,18,7,3.828,2.193
Magallana gigas,19,NA,1,Tide,15,18,8,3.165,1.514
Magallana gigas,19,NA,2,Tide,15,18,8,2.967,2.163
Magallana gigas,19,NA,3,Tide,15,18,8,2.604,1.757
Magallana gigas,19,NA,4,Tide,15,18,8,2.069,1.743
Magallana gigas,19,NA,5,Tide,15,18,8,2.676,1.597
Magallana gigas,19,NA,6,Tide,15,18,8,2.744,1.662
Magallana gigas,19,NA,7,Tide,15,18,8,2.678,1.932
Magallana gigas,19,NA,8,Tide,15,18,8,2.717,1.637
Magallana gigas,19,NA,9,Tide,15,18,8,3.16,1.811
Magallana gigas,19,NA,10,Tide,15,18,8,2.408,1.622
Magallana gigas,19,NA,1,Tide,21,18,8,2.524,1.801
Magallana gigas,19,NA,2,Tide,21,18,8,2.517,1.677
Magallana gigas,19,NA,3,Tide,21,18,8,2.743,1.892
Magallana gigas,19,NA,4,Tide,21,18,8,2.743,2
Magallana gigas,19,NA,5,Tide,21,18,8,2.783,2.193
Magallana gigas,19,NA,6,Tide,21,18,8,2.407,1.927
Magallana gigas,19,NA,7,Tide,21,18,8,2.077,1.731
Magallana gigas,19,NA,8,Tide,21,18,8,2.568,2.027
Magallana gigas,19,NA,9,Tide,21,18,8,2.691,1.65
Magallana gigas,19,NA,1,No Tide,15,18,8,2.734,1.548
Magallana gigas,19,NA,2,No Tide,15,18,8,3.44,1.787
Magallana gigas,19,NA,3,No Tide,15,18,8,2.98,1.987
Magallana gigas,19,NA,4,No Tide,15,18,8,2.88,1.96
Magallana gigas,19,NA,5,No Tide,15,18,8,3.372,1.948
Magallana gigas,19,NA,6,No Tide,15,18,8,3.248,1.716
Magallana gigas,19,NA,7,No Tide,15,18,8,3.161,1.961
Magallana gigas,19,NA,8,No Tide,15,18,8,4.014,2.204
Magallana gigas,19,NA,1,No Tide,21,18,8,3.156,2.178
Magallana gigas,19,NA,2,No Tide,21,18,8,2.604,1.65
Magallana gigas,19,NA,3,No Tide,21,18,8,3.252,1.963
Magallana gigas,19,NA,4,No Tide,21,18,8,3.297,1.825
Magallana gigas,19,NA,5,No Tide,21,18,8,3.086,1.811
Magallana gigas,19,NA,6,No Tide,21,18,8,2.589,1.768
Magallana gigas,19,NA,7,No Tide,21,18,8,3.37,2.144
Magallana gigas,19,NA,8,No Tide,21,18,8,3.123,1.556
Magallana gigas,19,NA,9,No Tide,21,18,8,2.503,1.878
Magallana gigas,19,NA,10,No Tide,21,18,8,2.825,1.678
Magallana gigas,19,NA,1,Tide,15,18,9,2.878,1.779
Magallana gigas,19,NA,2,Tide,15,18,9,2.971,1.712
Magallana gigas,19,NA,3,Tide,15,18,9,2.904,1.988
Magallana gigas,19,NA,4,Tide,15,18,9,2.809,1.824
Magallana gigas,19,NA,5,Tide,15,18,9,2.327,1.692
Magallana gigas,19,NA,6,Tide,15,18,9,2.384,1.891
Magallana gigas,19,NA,7,Tide,15,18,9,2.892,1.671
Magallana gigas,19,NA,8,Tide,15,18,9,2.046,1.906
Magallana gigas,19,NA,9,Tide,15,18,9,2.63,1.878
Magallana gigas,19,NA,10,Tide,15,18,9,2.466,1.702
Magallana gigas,19,NA,1,Tide,21,18,9,3.587,1.563
Magallana gigas,19,NA,2,Tide,21,18,9,2.1,1.785
Magallana gigas,19,NA,3,Tide,21,18,9,2.489,1.997
Magallana gigas,19,NA,4,Tide,21,18,9,2.373,1.672
Magallana gigas,19,NA,5,Tide,21,18,9,3.466,1.888
Magallana gigas,19,NA,6,Tide,21,18,9,2.292,1.945
Magallana gigas,19,NA,7,Tide,21,18,9,2.071,1.733
Magallana gigas,19,NA,8,Tide,21,18,9,2.263,1.811
Magallana gigas,19,NA,9,Tide,21,18,9,2.88,1.727
Magallana gigas,19,NA,10,Tide,21,18,9,3.128,1.808
Magallana gigas,19,NA,1,No Tide,15,18,9,3.097,2.088
Magallana gigas,19,NA,2,No Tide,15,18,9,2.327,2.052
Magallana gigas,19,NA,3,No Tide,15,18,9,2.922,1.92
Magallana gigas,19,NA,4,No Tide,15,18,9,2.575,1.812
Magallana gigas,19,NA,5,No Tide,15,18,9,2.943,1.77
Magallana gigas,19,NA,6,No Tide,15,18,9,2.675,2.014
Magallana gigas,19,NA,7,No Tide,15,18,9,2.466,2.014
Magallana gigas,19,NA,8,No Tide,15,18,9,2.245,2.127
Magallana gigas,19,NA,1,No Tide,21,18,9,3.172,2.069
Magallana gigas,19,NA,2,No Tide,21,18,9,2.548,1.699
Magallana gigas,19,NA,3,No Tide,21,18,9,2.811,1.85
Magallana gigas,19,NA,4,No Tide,21,18,9,3.015,2.006
Magallana gigas,19,NA,5,No Tide,21,18,9,2.832,2.622
Magallana gigas,19,NA,6,No Tide,21,18,9,2.955,1.977
Magallana gigas,19,NA,7,No Tide,21,18,9,2.144,1.798
Magallana gigas,19,NA,8,No Tide,21,18,9,2.463,1.727
Magallana gigas,19,NA,9,No Tide,21,18,9,2.89,2.151
Magallana gigas,19,NA,10,No Tide,21,18,9,3.163,1.685
Magallana gigas,19,NA,1,Tide,15,18,10,2.744,1.966
Magallana gigas,19,NA,2,Tide,15,18,10,2.539,1.747
Magallana gigas,19,NA,3,Tide,15,18,10,2.541,1.556
Magallana gigas,19,NA,4,Tide,15,18,10,2.691,1.706
Magallana gigas,19,NA,5,Tide,15,18,10,2.907,2.075
Magallana gigas,19,NA,6,Tide,15,18,10,2.967,1.901
Magallana gigas,19,NA,7,Tide,15,18,10,2.894,1.761
Magallana gigas,19,NA,8,Tide,15,18,10,2.692,1.965
Magallana gigas,19,NA,9,Tide,15,18,10,2.359,1.898
Magallana gigas,19,NA,10,Tide,15,18,10,2.533,1.706
Magallana gigas,19,NA,1,Tide,21,18,10,2.772,1.952
Magallana gigas,19,NA,2,Tide,21,18,10,2.363,1.823
Magallana gigas,19,NA,3,Tide,21,18,10,3.304,2.212
Magallana gigas,19,NA,4,Tide,21,18,10,3.113,1.943
Magallana gigas,19,NA,5,Tide,21,18,10,2.245,1.789
Magallana gigas,19,NA,6,Tide,21,18,10,3.077,1.393
Magallana gigas,19,NA,7,Tide,21,18,10,2.363,1.887
Magallana gigas,19,NA,8,Tide,21,18,10,2.268,1.679
Magallana gigas,19,NA,9,Tide,21,18,10,2.717,1.849
Magallana gigas,19,NA,10,Tide,21,18,10,2.294,1.925
Magallana gigas,19,NA,1,No Tide,15,18,10,2.989,1.844
Magallana gigas,19,NA,2,No Tide,15,18,10,3.154,1.802
Magallana gigas,19,NA,3,No Tide,15,18,10,3.016,1.844
Magallana gigas,19,NA,4,No Tide,15,18,10,2.824,2.048
Magallana gigas,19,NA,5,No Tide,15,18,10,2.443,1.926
Magallana gigas,19,NA,6,No Tide,15,18,10,2.735,2.293
Magallana gigas,19,NA,7,No Tide,15,18,10,2.649,1.953
Magallana gigas,19,NA,8,No Tide,15,18,10,2.867,2.225
Magallana gigas,19,NA,9,No Tide,15,18,10,2.545,1.748
Magallana gigas,19,NA,10,No Tide,15,18,10,2.857,2.347
Magallana gigas,19,NA,1,No Tide,21,18,10,3.535,2.006
Magallana gigas,19,NA,2,No Tide,21,18,10,2.777,1.747
Magallana gigas,19,NA,3,No Tide,21,18,10,2.661,1.706
Magallana gigas,19,NA,4,No Tide,21,18,10,2.531,1.762
Magallana gigas,19,NA,5,No Tide,21,18,10,2.6,1.779
Magallana gigas,19,NA,6,No Tide,21,18,10,2.671,1.928
Magallana gigas,19,NA,7,No Tide,21,18,10,3.526,2.134
Magallana gigas,19,NA,8,No Tide,21,18,10,3.195,1.733
Magallana gigas,19,NA,9,No Tide,21,18,10,2.939,1.679
Magallana gigas,19,NA,10,No Tide,21,18,10,3.052,1.575
Magallana gigas,19,NA,1,Tide,15,24,11,2.986,1.568
Magallana gigas,19,NA,2,Tide,15,24,11,3.05,1.863
Magallana gigas,19,NA,3,Tide,15,24,11,3.066,2.332
Magallana gigas,19,NA,4,Tide,15,24,11,2.624,1.614
Magallana gigas,19,NA,5,Tide,15,24,11,2.237,1.527
Magallana gigas,19,NA,6,Tide,15,24,11,2.832,1.786
Magallana gigas,19,NA,7,Tide,15,24,11,2.749,1.692
Magallana gigas,19,NA,8,Tide,15,24,11,2.582,1.711
Magallana gigas,19,NA,9,Tide,15,24,11,2.14,1.696
Magallana gigas,19,NA,1,Tide,21,24,11,4.021,2.461
Magallana gigas,19,NA,2,Tide,21,24,11,2.609,1.6
Magallana gigas,19,NA,3,Tide,21,24,11,2.936,1.95
Magallana gigas,19,NA,4,Tide,21,24,11,2.73,1.856
Magallana gigas,19,NA,5,Tide,21,24,11,2.978,1.936
Magallana gigas,19,NA,6,Tide,21,24,11,3.134,1.696
Magallana gigas,19,NA,7,Tide,21,24,11,2.489,2.113
Magallana gigas,19,NA,8,Tide,21,24,11,2.841,1.753
Magallana gigas,19,NA,9,Tide,21,24,11,2.255,1.818
Magallana gigas,19,NA,10,Tide,21,24,11,2.476,1.801
Magallana gigas,19,NA,1,No Tide,15,24,11,3.181,2.009
Magallana gigas,19,NA,2,No Tide,15,24,11,3.404,1.95
Magallana gigas,19,NA,3,No Tide,15,24,11,2.401,1.685
Magallana gigas,19,NA,4,No Tide,15,24,11,3.7,2.316
