Species,Day,Date,Rep,L_W,MHW,Tank,Size_cm
Magallana gigas,1,,5,W,18,6,1.73
Magallana gigas,1,,1,L,18,7,2.59
Magallana gigas,1,,1,W,18,7,1.565
Magallana gigas,1,,2,L,18,7,2.42
Magallana gigas,1,,2,W,18,7,1.664
Magallana gigas,1,,3,L,18,7,2.527
Magallana gigas,1,,3,W,18,7,1.76
Magallana gigas,1,,4,L,18,7,3.071
Magallana gigas,1,,4,W,18,7,1.827
Magallana gigas,1,,5,L,18,7,2.175
Magallana gigas,1,,5,W,18,7,2.061
Magallana gigas,1,,1,L,18,8,2.774
Magallana gigas,1,,1,W,18,8,2.132
Magallana gigas,1,,2,L,18,8,2.851
Magallana gigas,1,,2,W,18,8,1.599
Magallana gigas,1,,3,L,18,8,2.376
Magallana gigas,1,,3,W,18,8,1.656
Magallana gigas,1,,4,L,18,8,2.666
Magallana gigas,1,,4,W,18,8,1.617
Magallana gigas,1,,5,L,18,8,2.394
Magallana gigas,1,,5,W,18,8,1.84
Magallana gigas,1,,1,L,18,9,2.048
Magallana gigas,1,,1,W,18,9,1.739
Magallana gigas,1,,2,L,18,9,2.716
Magallana gigas,1,,2,W,18,9,1.712
Magallana gigas,1,,3,L,18,9,2.833
Magallana gigas,1,,3,W,18,9,1.588
Magallana gigas,1,,4,L,18,9,2.881
Magallana gigas,1,,4,W,18,9,1.904
Magallana gigas,1,,5,L,18,9,2.58
Magallana gigas,1,,5,W,18,9,1.805
Magallana gigas,1,,1,L,18,10,2.432
Magallana gigas,1,,1,W,18,10,1.856
Magallana gigas,1,,2,L,18,10,2.674
Magallana gigas,1,,2,W,18,10,1.624
Magallana gigas,1,,3,L,18,10,2.579
Magallana gigas,1,,3,W,18,10,1.773
Magallana gigas,1,,4,L,18,10,1.928
Magallana gigas,1,,4,W,18,10,1.858
Magallana gigas,1,,5,L,18,10,2.607
Magallana gigas,1,,5,W,18,10,1.668
Magallana gigas,1,,1,L,24,11,2.467
Magallana gigas,1,,1,W,24,11,1.815
Magallana gigas,1,,2,L,24,11,2.762
Magallana gigas,1,,2,W,24,11,1.792
Magallana gigas,1,,3,L,24,11,2.741
Magallana gigas,1,,3,W,24,11,1.604
Magallana gigas,1,,4,L,24,11,2.657
Magallana gigas,1,,4,W,24,11,1.661
Magallana gigas,1,,5,L,24,11,1.916
Magallana gigas,1,,5,W,24,11,1.546
Magallana gigas,1,,1,L,24,12,2.501
Magallana gigas,1,,1,W,24,12,1.846
Magallana gigas,1,,2,L,24,12,1.86
Magallana gigas,1,,2,W,24,12,1.908
Magallana gigas,1,,3,L,24,12,2.658
Magallana gigas,1,,3,W,24,12,1.682
Magallana gigas,1,,4,L,24,12,2.345
Magallana gigas,1,,4,W,24,12,1.61
Magallana gigas,1,,5,L,24,12,2.441
Magallana gigas,1,,5,W,24,12,1.795
Magallana gigas,1,,1,L,24,13,2.67
Magallana gigas,1,,1,W,24,13,1.933
Magallana gigas,1,,2,L,24,13,2.945
Magallana gigas,1,,2,W,24,13,1.886
Magallana gigas,1,,3,L,24,13,2.27
Magallana gigas,1,,3,W,24,13,1.838
Magallana gigas,1,,4,L,24,13,2.335
Magallana gigas,1,,4,W,24,13,1.923
Magallana gigas,1,,5,L,24,13,2.565
Magallana gigas,1,,5,W,24,13,1.951
Magallana gigas,1,,1,L,24,14,2.5
Magallana gigas,1,,1,W,24,14,1.821
Magallana gigas,1,,2,L,24,14,2.993
Magallana gigas,1,,2,W,24,14,1.795
Magallana gigas,1,,3,L,24,14,2.826
Magallana gigas,1,,3,W,24,14,1.792
Magallana gigas,1,,4,L,24,14,2.189
Magallana gigas,1,,4,W,24,14,1.88
Magallana gigas,1,,5,L,24,14,2.953
Magallana gigas,1,,5,W,24,14,1.919
Magallana gigas,1,,1,L,24,15,2.289
Magallana gigas,1,,1,W,24,15,1.839
Magallana gigas,1,,2,L,24,15,2.276
Magallana gigas,1,,2,W,24,15,1.679
Magallana gigas,1,,3,L,24,15,2.831
Magallana gigas,1,,3,W,24,15,1.855
Magallana gigas,1,,4,L,24,15,2.006
Magallana gigas,1,,4,W,24,15,1.826
Magallana gigas,1,,5,L,24,15,2.185
Magallana gigas,1,,5,W,24,15,1.824
Magallana gigas,1,,1,L,21,16,2.397
Magallana gigas,1,,1,W,21,16,1.726
Magallana gigas,1,,2,L,21,16,2.487
Magallana gigas,1,,2,W,21,16,1.783
Magallana gigas,1,,3,L,21,16,2.655
Magallana gigas,1,,3,W,21,16,1.633
Magallana gigas,1,,4,L,21,16,2.675
Magallana gigas,1,,4,W,21,16,1.718
Magallana gigas,1,,5,L,21,16,2.569
Magallana gigas,1,,5,W,21,16,1.724
Magallana gigas,1,,1,L,21,17,2.203
Magallana gigas,1,,1,W,21,17,1.801
Magallana gigas,1,,2,L,21,17,2.765
Magallana gigas,1,,2,W,21,17,1.588
Magallana gigas,1,,3,L,21,17,2.913
Magallana gigas,1,,3,W,21,17,1.928
Magallana gigas,1,,4,L,21,17,2.634
Magallana gigas,1,,4,W,21,17,1.924
Magallana gigas,1,,5,L,21,17,2.712
Magallana gigas,1,,5,W,21,17,1.808
Magallana gigas,1,,1,L,21,18,2.58
Magallana gigas,1,,1,W,21,18,2.166
Magallana gigas,1,,2,L,21,18,2.52
Magallana gigas,1,,2,W,21,18,1.763
Magallana gigas,1,,3,L,21,18,3.11
Magallana gigas,1,,3,W,21,18,1.754
Magallana gigas,1,,4,L,21,18,2.959
Magallana gigas,1,,4,W,21,18,1.671
Magallana gigas,1,,5,L,21,18,2.785
Magallana gigas,1,,5,W,21,18,1.615
Magallana gigas,1,,1,L,21,19,3.347
Magallana gigas,1,,1,W,21,19,1.699
Magallana gigas,1,,2,L,21,19,2.538
Magallana gigas,1,,2,W,21,19,1.856
Magallana gigas,1,,3,L,21,19,2.589
Magallana gigas,1,,3,W,21,19,1.678
Magallana gigas,1,,4,L,21,19,2.706
Magallana gigas,1,,4,W,21,19,1.906
Magallana gigas,1,,5,L,21,19,2.551
Magallana gigas,1,,5,W,21,19,1.941
Magallana gigas,1,,1,L,21,20,2.357
Magallana gigas,1,,1,W,21,20,1.916
Magallana gigas,1,,2,L,21,20,2.481
Magallana gigas,1,,2,W,21,20,1.876
Magallana gigas,1,,3,L,21,20,2.34
Magallana gigas,1,,3,W,21,20,1.587
Magallana gigas,1,,4,L,21,20,2.614
Magallana gigas,1,,4,W,21,20,1.701
Magallana gigas,1,,5,L,21,20,2.955
Magallana gigas,1,,5,W,21,20,1.8
