Species,Day,Date,Rep,L_W,MHW,Tank,Size_cm
Crassostrea sikamea,1,,2,W,15,5,2.14
Crassostrea sikamea,1,,3,L,15,5,2.599
Crassostrea sikamea,1,,3,W,15,5,1.935
Crassostrea sikamea,1,,4,L,15,5,3.524
Crassostrea sikamea,1,,4,W,15,5,2.197
Crassostrea sikamea,1,,5,L,15,5,3.013
Crassostrea sikamea,1,,5,W,15,5,2.068
Crassostrea sikamea,1,,1,L,18,6,3.453
Crassostrea sikamea,1,,1,W,18,6,1.96
Crassostrea sikamea,1,,2,L,18,6,2.366
Crassostrea sikamea,1,,2,W,18,6,1.941
Crassostrea sikamea,1,,3,L,18,6,2.667
Crassostrea sikamea,1,,3,W,18,6,2.025
Crassostrea sikamea,1,,4,L,18,6,3.219
Crassostrea sikamea,1,,4,W,18,6,1.908
Crassostrea sikamea,1,,5,L,18,6,3.121
Crassostrea sikamea,1,,5,W,18,6,1.759
Crassostrea sikamea,1,,1,L,18,7,2.802
Crassostrea sikamea,1,,1,W,18,7,1.878
Crassostrea sikamea,1,,2,L,18,7,2.652
Crassostrea sikamea,1,,2,W,18,7,1.894
Crassostrea sikamea,1,,3,L,18,7,2.924
Crassostrea sikamea,1,,3,W,18,7,1.845
Crassostrea sikamea,1,,4,L,18,7,2.874
Crassostrea sikamea,1,,4,W,18,7,1.904
Crassostrea sikamea,1,,5,L,18,7,2.523
Crassostrea sikamea,1,,5,W,18,7,1.626
Crassostrea sikamea,1,,1,L,18,8,2.892
Crassostrea sikamea,1,,1,W,18,8,1.901
Crassostrea sikamea,1,,2,L,18,8,3.078
Crassostrea sikamea,1,,2,W,18,8,2.164
Crassostrea sikamea,1,,3,L,18,8,2.606
Crassostrea sikamea,1,,3,W,18,8,2.149
Crassostrea sikamea,1,,4,L,18,8,2.589
Crassostrea sikamea,1,,4,W,18,8,2.109
Crassostrea sikamea,1,,5,L,18,8,2.728
Crassostrea sikamea,1,,5,W,18,8,1.988
Crassostrea sikamea,1,,1,L,18,9,2.856
Crassostrea sikamea,1,,1,W,18,9,1.861
Crassostrea sikamea,1,,2,L,18,9,2.777
Crassostrea sikamea,1,,2,W,18,9,2.016
Crassostrea sikamea,1,,3,L,18,9,3.067
Crassostrea sikamea,1,,3,W,18,9,1.876
Crassostrea sikamea,1,,4,L,18,9,2.072
Crassostrea sikamea,1,,4,W,18,9,2.108
Crassostrea sikamea,1,,5,L,18,9,2.547
Crassostrea sikamea,1,,5,W,18,9,1.658
Crassostrea sikamea,1,,1,L,18,10,3.22
Crassostrea sikamea,1,,1,W,18,10,2.174
Crassostrea sikamea,1,,2,L,18,10,3.107
Crassostrea sikamea,1,,2,W,18,10,2.066
Crassostrea sikamea,1,,3,L,18,10,2.978
Crassostrea sikamea,1,,3,W,18,10,2.139
Crassostrea sikamea,1,,4,L,18,10,3.138
Crassostrea sikamea,1,,4,W,18,10,2.013
Crassostrea sikamea,1,,5,L,18,10,2.738
Crassostrea sikamea,1,,5,W,18,10,2.049
Crassostrea sikamea,1,,1,L,24,11,2.291
Crassostrea sikamea,1,,1,W,24,11,2.135
Crassostrea sikamea,1,,2,L,24,11,2.693
Crassostrea sikamea,1,,2,W,24,11,1.881
Crassostrea sikamea,1,,3,L,24,11,2.595
Crassostrea sikamea,1,,3,W,24,11,1.718
Crassostrea sikamea,1,,4,L,24,11,2.896
Crassostrea sikamea,1,,4,W,24,11,1.913
Crassostrea sikamea,1,,5,L,24,11,2.46
Crassostrea sikamea,1,,5,W,24,11,1.87
Crassostrea sikamea,1,,1,L,24,12,2.74
Crassostrea sikamea,1,,1,W,24,12,1.852
Crassostrea sikamea,1,,2,L,24,12,2.547
Crassostrea sikamea,1,,2,W,24,12,1.79
Crassostrea sikamea,1,,3,L,24,12,2.604
Crassostrea sikamea,1,,3,W,24,12,1.944
Crassostrea sikamea,1,,4,L,24,12,2.443
Crassostrea sikamea,1,,4,W,24,12,2
Crassostrea sikamea,1,,5,L,24,12,2.518
Crassostrea sikamea,1,,5,W,24,12,1.823
Crassostrea sikamea,1,,1,L,24,13,3.042
Crassostrea sikamea,1,,1,W,24,13,1.999
Crassostrea sikamea,1,,2,L,24,13,2.75
Crassostrea sikamea,1,,2,W,24,13,1.832
Crassostrea sikamea,1,,3,L,24,13,3.096
Crassostrea sikamea,1,,3,W,24,13,2.1
Crassostrea sikamea,1,,4,L,24,13,2.999
Crassostrea sikamea,1,,4,W,24,13,2.281
Crassostrea sikamea,1,,5,L,24,13,2.544
Crassostrea sikamea,1,,5,W,24,13,1.659
Crassostrea sikamea,1,,1,L,24,14,2.514
Crassostrea sikamea,1,,1,W,24,14,1.915
Crassostrea sikamea,1,,2,L,24,14,3.275
Crassostrea sikamea,1,,2,W,24,14,2.068
Crassostrea sikamea,1,,3,L,24,14,2.611
Crassostrea sikamea,1,,3,W,24,14,1.894
Crassostrea sikamea,1,,4,L,24,14,2.785
Crassostrea sikamea,1,,4,W,24,14,1.952
Crassostrea sikamea,1,,5,L,24,14,2.603
Crassostrea sikamea,1,,5,W,24,14,1.772
Crassostrea sikamea,1,,1,L,24,15,2.552
Crassostrea sikamea,1,,1,W,24,15,1.814
Crassostrea sikamea,1,,2,L,24,15,2.591
Crassostrea sikamea,1,,2,W,24,15,1.801
Crassostrea sikamea,1,,3,L,24,15,2.773
Crassostrea sikamea,1,,3,W,24,15,1.653
Crassostrea sikamea,1,,4,L,24,15,2.732
Crassostrea sikamea,1,,4,W,24,15,1.897
Crassostrea sikamea,1,,5,L,24,15,2.759
Crassostrea sikamea,1,,5,W,24,15,1.824
Crassostrea sikamea,1,,1,L,21,16,2.229
Crassostrea sikamea,1,,1,W,21,16,2.173
Crassostrea sikamea,1,,2,L,21,16,2.001
Crassostrea sikamea,1,,2,W,21,16,1.897
Crassostrea sikamea,1,,3,L,21,16,2.86
Crassostrea sikamea,1,,3,W,21,16,1.898
Crassostrea sikamea,1,,4,L,21,16,2.394
Crassostrea sikamea,1,,4,W,21,16,1.788
Crassostrea sikamea,1,,5,L,21,16,2.38
Crassostrea sikamea,1,,5,W,21,16,1.932
Crassostrea sikamea,1,,1,L,21,17,2.895
Crassostrea sikamea,1,,1,W,21,17,2.131
Crassostrea sikamea,1,,2,L,21,17,2.796
Crassostrea sikamea,1,,2,W,21,17,1.739
Crassostrea sikamea,1,,3,L,21,17,2.558
Crassostrea sikamea,1,,3,W,21,17,1.897
Crassostrea sikamea,1,,4,L,21,17,3.098
Crassostrea sikamea,1,,4,W,21,17,2.236
Crassostrea sikamea,1,,5,L,21,17,2.514
Crassostrea sikamea,1,,5,W,21,17,1.812
Crassostrea sikamea,1,,1,L,21,18,2.725
Crassostrea sikamea,1,,1,W,21,18,2.176
Crassostrea sikamea,1,,2,L,21,18,2.247
Crassostrea sikamea,1,,2,W,21,18,1.642
Crassostrea sikamea,1,,3,L,21,18,2.904
Crassostrea sikamea,1,,3,W,21,18,1.806
Crassostrea sikamea,1,,4,L,21,18,2.983
Crassostrea sikamea,1,,4,W,21,18,2.006
Crassostrea sikamea,1,,5,L,21,18,3.207
Crassostrea sikamea,1,,5,W,21,18,2.007
Crassostrea sikamea,1,,1,L,21,19,3.385
Crassostrea sikamea,1,,1,W,21,19,2.123
Crassostrea sikamea,1,,2,L,21,19,2.628
Crassostrea sikamea,1,,2,W,21,19,2.253
Crassostrea sikamea,1,,3,L,21,19,2.292
Crassostrea sikamea,1,,3,W,21,19,1.781
Crassostrea sikamea,1,,4,L,21,19,2.484
Crassostrea sikamea,1,,4,W,21,19,1.944
Crassostrea sikamea,1,,5,L,21,19,2.765
Crassostrea sikamea,1,,5,W,21,19,1.903
Crassostrea sikamea,1,,1,L,21,20,2.555
Crassostrea sikamea,1,,1,W,21,20,1.763
Crassostrea sikamea,1,,2,L,21,20,2.987
Crassostrea sikamea,1,,2,W,21,20,2.102
Crassostrea sikamea,1,,3,L,21,20,2.693
Crassostrea sikamea,1,,3,W,21,20,2.009
Crassostrea sikamea,1,,4,L,21,20,3.022
Crassostrea sikamea,1,,4,W,21,20,1.852
Crassostrea sikamea,1,,5,L,21,20,2.883
Crassostrea sikamea,1,,5,W,21,20,1.981
