Species,Day,Date,Rep,MHW,Tank,L,W
Crassostrea sikamea,1,NA,3,24,13,3.096,2.1
Crassostrea sikamea,1,NA,4,24,13,2.999,2.281
Crassostrea sikamea,1,NA,5,24,13,2.544,1.659
Crassostrea sikamea,1,NA,1,24,14,2.514,1.915
Crassostrea sikamea,1,NA,2,24,14,3.275,2.068
Crassostrea sikamea,1,NA,3,24,14,2.611,1.894
Crassostrea sikamea,1,NA,4,24,14,2.785,1.952
Crassostrea sikamea,1,NA,5,24,14,2.603,1.772
Crassostrea sikamea,1,NA,1,24,15,2.552,1.814
Crassostrea sikamea,1,NA,2,24,15,2.591,1.801
Crassostrea sikamea,1,NA,3,24,15,2.773,1.653
Crassostrea sikamea,1,NA,4,24,15,2.732,1.897
Crassostrea sikamea,1,NA,5,24,15,2.759,1.824
Crassostrea sikamea,1,NA,1,21,16,2.229,2.173
Crassostrea sikamea,1,NA,2,21,16,2.001,1.897
Crassostrea sikamea,1,NA,3,21,16,2.86,1.898
Crassostrea sikamea,1,NA,4,21,16,2.394,1.788
Crassostrea sikamea,1,NA,5,21,16,2.38,1.932
Crassostrea sikamea,1,NA,1,21,17,2.895,2.131
Crassostrea sikamea,1,NA,2,21,17,2.796,1.739
Crassostrea sikamea,1,NA,3,21,17,2.558,1.897
Crassostrea sikamea,1,NA,4,21,17,3.098,2.236
Crassostrea sikamea,1,NA,5,21,17,2.514,1.812
Crassostrea sikamea,1,NA,1,21,18,2.725,2.176
Crassostrea sikamea,1,NA,2,21,18,2.247,1.642
Crassostrea sikamea,1,NA,3,21,18,2.904,1.806
Crassostrea sikamea,1,NA,4,21,18,2.983,2.006
Crassostrea sikamea,1,NA,5,21,18,3.207,2.007
Crassostrea sikamea,1,NA,1,21,19,3.385,2.123
Crassostrea sikamea,1,NA,2,21,19,2.628,2.253
Crassostrea sikamea,1,NA,3,21,19,2.292,1.781
Crassostrea sikamea,1,NA,4,21,19,2.484,1.944
Crassostrea sikamea,1,NA,5,21,19,2.765,1.903
Crassostrea sikamea,1,NA,1,21,20,2.555,1.763
Crassostrea sikamea,1,NA,2,21,20,2.987,2.102
Crassostrea sikamea,1,NA,3,21,20,2.693,2.009
Crassostrea sikamea,1,NA,4,21,20,3.022,1.852
Crassostrea sikamea,1,NA,5,21,20,2.883,1.981
