Species,15_21_Day,18_24_Day,Date,MHW,MHW_Tank,SH_Temp,SH_Tide,Oyster_No,Mortality,Notes
C_sikamea,18,15,3/13/2022,18,6,15,Tide,19,0,NA
C_sikamea,18,15,3/13/2022,18,6,15,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,18,6,21,Tide,19,0,NA
C_sikamea,18,15,3/13/2022,18,6,21,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,18,7,15,Tide,19,0,NA
C_sikamea,18,15,3/13/2022,18,7,15,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,18,7,21,Tide,19,0,NA
C_sikamea,18,15,3/13/2022,18,7,21,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,18,8,15,Tide,19,0,NA
C_sikamea,18,15,3/13/2022,18,8,15,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,18,8,21,Tide,20,0,NA
C_sikamea,18,15,3/13/2022,18,8,21,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,18,9,15,Tide,20,0,NA
C_sikamea,18,15,3/13/2022,18,9,15,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,18,9,21,Tide,20,0,NA
C_sikamea,18,15,3/13/2022,18,9,21,No Tide,19,0,NA
C_sikamea,18,15,3/13/2022,18,10,15,Tide,20,0,NA
C_sikamea,18,15,3/13/2022,18,10,15,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,18,10,21,Tide,20,0,NA
C_sikamea,18,15,3/13/2022,18,10,21,No Tide,19,0,NA
C_sikamea,18,15,3/13/2022,24,11,15,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,24,11,21,Tide,20,0,NA
C_sikamea,18,15,3/13/2022,24,11,21,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,24,12,15,Tide,19,0,NA
C_sikamea,18,15,3/13/2022,24,12,21,Tide,20,0,NA
C_sikamea,18,15,3/13/2022,24,12,21,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,24,13,15,Tide,19,0,NA
C_sikamea,18,15,3/13/2022,24,13,15,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,24,13,21,Tide,20,0,NA
C_sikamea,18,15,3/13/2022,24,13,21,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,24,14,15,Tide,20,0,NA
C_sikamea,18,15,3/13/2022,24,14,15,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,24,14,21,Tide,19,0,NA
C_sikamea,18,15,3/13/2022,24,14,21,No Tide,20,0,2 bags
C_sikamea,18,15,3/13/2022,24,15,15,Tide,20,0,NA
C_sikamea,18,15,3/13/2022,24,15,15,No Tide,20,0,NA
C_sikamea,18,15,3/13/2022,24,15,21,Tide,20,0,NA
C_sikamea,18,15,3/13/2022,24,15,21,No Tide,19,0,NA
C_sikamea,18,15,3/13/2022,24,12,15,No Tide,20,1,NA
C_sikamea,18,15,3/13/2022,24,11,15,Tide,19,2,NA
