Species,Day,Date,Rep,L_W,SH_Tide,SH_Temp,MHW,Tank,Size_mm
Ostrea lurida,19,,4,L,Tide,15,18,6,5.743
Ostrea lurida,19,,9,L,Tide,15,18,10,5.767
Ostrea lurida,19,,3,W,Tide,15,18,8,5.768
Ostrea lurida,19,,2,W,Tide,15,18,8,5.789
Ostrea lurida,19,,3,L,No Tide,15,18,9,5.81
Ostrea lurida,19,,7,L,Tide,15,18,10,5.828
Ostrea lurida,19,,3,L,No Tide,15,18,10,5.869
Ostrea lurida,19,,1,L,No Tide,15,18,7,5.871
Ostrea lurida,19,,6,L,Tide,15,18,7,5.904
Ostrea lurida,19,,6,L,Tide,15,18,10,5.939
Ostrea lurida,19,,5,L,Tide,15,18,10,5.957
Ostrea lurida,19,,6,L,No Tide,15,18,9,5.968
Ostrea lurida,19,,2,L,Tide,15,18,6,6
Ostrea lurida,19,,9,W,Tide,15,18,6,6
Ostrea lurida,19,,1,L,No Tide,15,18,10,6.024
Ostrea lurida,19,,10,L,No Tide,15,18,9,6.093
Ostrea lurida,19,,5,L,Tide,15,18,7,6.112
Ostrea lurida,19,,4,W,No Tide,15,18,7,6.116
Ostrea lurida,19,,4,L,No Tide,15,18,6,6.153
Ostrea lurida,19,,7,W,Tide,15,18,9,6.176
Ostrea lurida,19,,10,W,No Tide,15,18,6,6.187
Ostrea lurida,19,,1,W,No Tide,15,18,6,6.208
Ostrea lurida,19,,9,W,No Tide,15,18,8,6.218
Ostrea lurida,19,,8,W,No Tide,15,18,8,6.256
Ostrea lurida,19,,7,L,No Tide,15,18,7,6.286
Ostrea lurida,19,,6,W,No Tide,15,18,8,6.3
Ostrea lurida,19,,4,W,No Tide,15,18,8,6.306
Ostrea lurida,19,,1,L,No Tide,15,18,6,6.315
Ostrea lurida,19,,9,L,No Tide,15,18,6,6.317
Ostrea lurida,19,,8,L,No Tide,15,18,7,6.366
Ostrea lurida,19,,1,L,Tide,15,18,6,6.393
Ostrea lurida,19,,2,L,Tide,15,18,8,6.415
Ostrea lurida,19,,2,L,No Tide,15,18,6,6.439
Ostrea lurida,19,,1,L,Tide,15,18,9,6.446
Ostrea lurida,19,,8,L,Tide,15,18,10,6.471
Ostrea lurida,19,,10,L,No Tide,15,18,6,6.507
Ostrea lurida,19,,6,L,Tide,15,18,9,6.517
Ostrea lurida,19,,5,W,Tide,15,18,6,6.538
Ostrea lurida,19,,5,L,Tide,15,18,9,6.622
Ostrea lurida,19,,7,L,Tide,15,18,8,6.626
Ostrea lurida,19,,10,L,Tide,15,18,8,6.65
Ostrea lurida,19,,1,W,Tide,15,18,10,6.671
Ostrea lurida,19,,3,L,Tide,15,18,6,6.687
Ostrea lurida,19,,6,L,Tide,15,18,6,6.717
Ostrea lurida,19,,7,L,Tide,15,18,6,6.726
Ostrea lurida,19,,10,L,Tide,15,18,9,6.734
Ostrea lurida,19,,1,W,Tide,15,18,8,6.736
Ostrea lurida,19,,5,W,No Tide,15,18,8,6.777
Ostrea lurida,19,,3,L,Tide,15,18,7,6.801
Ostrea lurida,19,,8,L,Tide,15,18,9,6.811
Ostrea lurida,19,,9,L,Tide,15,18,6,6.827
Ostrea lurida,19,,1,L,Tide,15,18,10,6.848
Ostrea lurida,19,,10,L,Tide,15,18,7,6.872
Ostrea lurida,19,,10,W,No Tide,15,18,10,6.89
Ostrea lurida,19,,4,L,No Tide,15,18,7,6.901
Ostrea lurida,19,,6,L,Tide,15,18,8,6.943
Ostrea lurida,19,,4,W,Tide,15,18,8,7.042
Ostrea lurida,19,,4,L,Tide,15,18,8,7.126
Ostrea lurida,19,,9,L,No Tide,15,18,10,7.186
Ostrea lurida,19,,5,L,No Tide,15,18,6,7.321
Ostrea lurida,19,,10,L,No Tide,15,18,10,7.372
Ostrea lurida,19,,10,L,Tide,15,18,6,7.404
Ostrea lurida,19,,7,W,Tide,15,18,8,7.491
Ostrea lurida,19,,7,W,No Tide,15,18,8,7.491
Ostrea lurida,19,,8,L,Tide,15,18,8,7.494
Ostrea lurida,19,,3,W,No Tide,15,18,8,7.521
Ostrea lurida,19,,10,W,No Tide,15,18,8,7.549
Ostrea lurida,19,,2,L,No Tide,15,18,8,7.566
Ostrea lurida,19,,6,W,No Tide,15,18,7,7.58
Ostrea lurida,19,,5,L,Tide,15,18,6,7.582
Ostrea lurida,19,,4,L,No Tide,15,18,8,7.59
Ostrea lurida,19,,6,L,No Tide,15,18,7,7.595
Ostrea lurida,19,,1,L,Tide,15,18,8,7.607
Ostrea lurida,19,,1,L,No Tide,15,18,8,7.621
Ostrea lurida,19,,1,L,Tide,15,18,7,7.705
Ostrea lurida,19,,5,W,Tide,15,18,8,7.903
Ostrea lurida,19,,3,L,Tide,15,18,8,7.98
Ostrea lurida,19,,5,L,No Tide,15,18,8,8.055
Ostrea lurida,19,,7,L,Tide,15,18,9,8.062
Ostrea lurida,19,,10,L,No Tide,15,18,8,8.109
Ostrea lurida,19,,5,L,Tide,15,18,8,8.203
Ostrea lurida,19,,3,L,No Tide,15,18,8,8.208
Ostrea lurida,19,,4,L,No Tide,15,18,10,8.592
Ostrea lurida,19,,6,L,No Tide,15,18,8,8.682
Ostrea lurida,19,,8,W,Tide,15,18,8,8.761
Ostrea lurida,19,,9,L,No Tide,15,18,8,8.838
Ostrea lurida,19,,8,L,No Tide,15,18,8,9.551
Ostrea lurida,19,,7,L,No Tide,15,18,8,10.549
Ostrea lurida,19,,5,W,Tide,15,21,17,2.857
Ostrea lurida,19,,5,W,No Tide,15,21,18,3.169
Ostrea lurida,19,,1,W,No Tide,15,21,17,3.23
Ostrea lurida,19,,1,W,Tide,15,21,17,3.358
Ostrea lurida,19,,3,W,No Tide,15,21,19,3.643
Ostrea lurida,19,,5,W,Tide,15,21,18,3.67
Ostrea lurida,19,,8,W,Tide,15,21,17,3.681
Ostrea lurida,19,,1,W,Tide,15,21,19,3.681
Ostrea lurida,19,,8,W,No Tide,15,21,19,3.72
Ostrea lurida,19,,1,W,No Tide,15,21,19,3.767
Ostrea lurida,19,,2,W,Tide,15,21,19,3.779
Ostrea lurida,19,,10,W,Tide,15,21,20,3.795
Ostrea lurida,19,,4,W,No Tide,15,21,17,3.874
Ostrea lurida,19,,5,W,Tide,15,21,19,3.891
Ostrea lurida,19,,1,W,Tide,15,21,20,3.919
Ostrea lurida,19,,5,L,Tide,15,21,17,3.989
Ostrea lurida,19,,9,W,No Tide,15,21,20,3.997
Ostrea lurida,19,,7,W,Tide,15,21,17,4.039
Ostrea lurida,19,,6,W,Tide,15,21,17,4.071
Ostrea lurida,19,,9,W,Tide,15,21,19,4.101
Ostrea lurida,19,,3,W,Tide,15,21,19,4.104
Ostrea lurida,19,,5,W,No Tide,15,21,19,4.12
Ostrea lurida,19,,7,W,No Tide,15,21,17,4.123
Ostrea lurida,19,,2,W,No Tide,15,21,17,4.214
Ostrea lurida,19,,8,W,No Tide,15,21,17,4.219
Ostrea lurida,19,,10,W,No Tide,15,21,19,4.27
Ostrea lurida,19,,3,W,Tide,15,21,16,4.283
Ostrea lurida,19,,3,W,No Tide,15,21,16,4.283
Ostrea lurida,19,,10,W,No Tide,15,21,16,4.293
Ostrea lurida,19,,6,W,No Tide,15,21,17,4.338
Ostrea lurida,19,,5,W,No Tide,15,21,20,4.367
Ostrea lurida,19,,1,L,Tide,15,21,17,4.408
Ostrea lurida,19,,9,W,Tide,15,21,17,4.444
Ostrea lurida,19,,2,L,No Tide,15,21,17,4.444
Ostrea lurida,19,,8,W,Tide,15,21,19,4.453
Ostrea lurida,19,,3,W,Tide,15,21,17,4.457
Ostrea lurida,19,,2,W,Tide,15,21,20,4.458
Ostrea lurida,19,,9,W,Tide,15,21,20,4.472
Ostrea lurida,19,,2,W,Tide,15,21,17,4.473
Ostrea lurida,19,,4,W,No Tide,15,21,20,4.486
Ostrea lurida,19,,6,W,Tide,15,21,19,4.534
Ostrea lurida,19,,8,L,Tide,15,21,17,4.54
Ostrea lurida,19,,7,W,Tide,15,21,18,4.553
Ostrea lurida,19,,8,L,No Tide,15,21,17,4.601
Ostrea lurida,19,,8,W,Tide,15,21,16,4.607
Ostrea lurida,19,,4,W,Tide,15,21,16,4.62
Ostrea lurida,19,,7,W,No Tide,15,21,18,4.621
Ostrea lurida,19,,9,W,No Tide,15,21,19,4.645
Ostrea lurida,19,,9,W,Tide,15,21,18,4.651
Ostrea lurida,19,,9,W,Tide,15,21,16,4.679
Ostrea lurida,19,,6,W,Tide,15,21,18,4.699
Ostrea lurida,19,,2,L,Tide,15,21,20,4.791
Ostrea lurida,19,,9,W,No Tide,15,21,18,4.793
Ostrea lurida,19,,7,W,Tide,15,21,19,4.796
Ostrea lurida,19,,2,W,No Tide,15,21,16,4.802
Ostrea lurida,19,,7,L,No Tide,15,21,17,4.811
