Species,Day,Date,Rep,SH_Tide,SH_Temp,MHW,Tank,W,L
Ostrea lurida,19,NA,2,No Tide,21,21,18,3.362,5.06
Ostrea lurida,19,NA,4,Tide,15,18,10,3.372,4.892
Ostrea lurida,19,NA,9,Tide,21,15,2,3.41,5.495
Ostrea lurida,19,NA,5,No Tide,15,18,10,3.42,4.085
Ostrea lurida,19,NA,8,Tide,15,24,11,3.424,5.736
Ostrea lurida,19,NA,8,No Tide,21,24,11,3.444,4.062
Ostrea lurida,19,NA,8,No Tide,21,18,10,3.45,4.627
Ostrea lurida,19,NA,7,Tide,21,18,7,3.875,3.459
Ostrea lurida,19,NA,5,No Tide,21,18,7,3.467,5.747
Ostrea lurida,19,NA,5,Tide,21,24,14,3.48,4.763
Ostrea lurida,19,NA,2,Tide,21,18,7,3.481,4.686
Ostrea lurida,19,NA,5,Tide,21,24,15,3.484,5.071
Ostrea lurida,19,NA,9,No Tide,15,18,7,3.497,4.968
Ostrea lurida,19,NA,1,No Tide,21,21,19,3.503,5.63
Ostrea lurida,19,NA,1,Tide,21,21,17,3.523,5.484
Ostrea lurida,19,NA,9,Tide,15,24,11,3.525,4.54
Ostrea lurida,19,NA,3,No Tide,21,15,2,3.571,6.148
Ostrea lurida,19,NA,2,No Tide,15,18,9,3.594,4.418
Ostrea lurida,19,NA,3,No Tide,21,24,11,3.612,4.774
Ostrea lurida,19,NA,7,No Tide,21,18,6,3.628,5.476
Ostrea lurida,19,NA,3,Tide,15,15,4,3.639,5.253
Ostrea lurida,19,NA,2,No Tide,15,18,10,3.639,3.969
Ostrea lurida,19,NA,3,No Tide,15,21,19,3.643,5.469
Ostrea lurida,19,NA,5,Tide,21,24,11,3.653,4.851
Ostrea lurida,19,NA,8,Tide,21,18,9,3.666,5.029
Ostrea lurida,19,NA,5,Tide,15,21,18,3.67,6.372
Ostrea lurida,19,NA,10,Tide,15,24,13,3.678,5.074
Ostrea lurida,19,NA,8,Tide,15,21,17,3.681,4.54
Ostrea lurida,19,NA,1,Tide,15,21,19,3.681,5.014
Ostrea lurida,19,NA,8,No Tide,15,15,5,3.686,4.863
Ostrea lurida,19,NA,10,Tide,21,21,17,3.687,4.46
Ostrea lurida,19,NA,2,No Tide,21,24,14,3.699,4.734
Ostrea lurida,19,NA,8,Tide,15,18,6,3.71,4.625
Ostrea lurida,19,NA,4,Tide,21,24,11,3.718,4.777
Ostrea lurida,19,NA,8,No Tide,15,21,19,3.72,5.038
Ostrea lurida,19,NA,8,No Tide,15,24,15,3.723,5.605
Ostrea lurida,19,NA,9,Tide,21,15,5,3.725,4.62
Ostrea lurida,19,NA,3,No Tide,15,18,7,3.726,4.217
Ostrea lurida,19,NA,10,Tide,21,21,18,3.749,5.896
Ostrea lurida,19,NA,9,Tide,21,24,14,3.754,4.325
Ostrea lurida,19,NA,5,No Tide,21,18,10,3.76,5.509
Ostrea lurida,19,NA,5,Tide,21,18,6,3.764,4.932
Ostrea lurida,19,NA,1,No Tide,15,21,19,3.767,4.973
Ostrea lurida,19,NA,2,Tide,21,21,16,3.777,4.581
Ostrea lurida,19,NA,2,Tide,15,21,19,3.779,6.399
Ostrea lurida,19,NA,2,Tide,15,24,11,3.795,5.423
Ostrea lurida,19,NA,2,Tide,15,24,15,3.795,4.365
Ostrea lurida,19,NA,10,Tide,15,21,20,3.795,6.078
Ostrea lurida,19,NA,10,No Tide,21,24,14,3.802,6.46
Ostrea lurida,19,NA,1,Tide,21,24,14,3.803,4.773
Ostrea lurida,19,NA,8,Tide,15,18,7,3.82,4.385
Ostrea lurida,19,NA,5,No Tide,21,24,14,3.823,5.367
Ostrea lurida,19,NA,3,Tide,21,21,20,3.825,5.815
Ostrea lurida,19,NA,10,No Tide,21,15,2,3.827,7.609
Ostrea lurida,19,NA,6,No Tide,21,21,17,3.828,4.405
Ostrea lurida,19,NA,2,Tide,15,18,6,3.829,6
Ostrea lurida,19,NA,2,No Tide,15,24,15,3.83,5.759
Ostrea lurida,19,NA,6,Tide,15,24,14,3.835,5.302
Ostrea lurida,19,NA,6,Tide,21,24,15,3.837,4.735
Ostrea lurida,19,NA,7,No Tide,15,18,10,3.842,4.944
Ostrea lurida,19,NA,1,Tide,21,18,6,3.848,4.606
Ostrea lurida,19,NA,4,No Tide,21,18,9,3.853,5.251
Ostrea lurida,19,NA,4,No Tide,21,18,7,3.857,4.201
Ostrea lurida,19,NA,1,Tide,15,15,2,3.86,5.272
Ostrea lurida,19,NA,7,No Tide,15,18,6,3.863,5.459
Ostrea lurida,19,NA,5,Tide,21,18,10,3.87,4.778
Ostrea lurida,19,NA,10,No Tide,15,24,14,3.871,5.752
Ostrea lurida,19,NA,2,Tide,21,18,6,3.874,4.732
Ostrea lurida,19,NA,4,No Tide,15,21,17,3.874,5.934
Ostrea lurida,19,NA,4,Tide,21,24,12,3.88,5.75
Ostrea lurida,19,NA,5,Tide,15,21,19,3.891,5.218
Ostrea lurida,19,NA,3,Tide,15,18,10,3.904,5.559
Ostrea lurida,19,NA,2,Tide,21,24,11,3.985,3.904
Ostrea lurida,19,NA,3,No Tide,21,21,18,3.912,6.389
Ostrea lurida,19,NA,4,Tide,21,21,17,3.918,5.296
Ostrea lurida,19,NA,1,Tide,15,21,20,3.919,6.596
Ostrea lurida,19,NA,7,Tide,15,15,2,3.93,6.381
Ostrea lurida,19,NA,9,Tide,15,15,5,3.935,4.703
Ostrea lurida,19,NA,10,No Tide,15,15,3,3.938,6.376
Ostrea lurida,19,NA,1,No Tide,21,18,7,3.938,5.571
Ostrea lurida,19,NA,5,Tide,21,15,5,3.94,4.829
Ostrea lurida,19,NA,5,No Tide,21,18,6,3.942,5.429
Ostrea lurida,19,NA,10,Tide,21,18,8,3.942,5.191
Ostrea lurida,19,NA,7,Tide,21,15,1,3.947,5.431
Ostrea lurida,19,NA,10,Tide,21,15,2,3.948,5.556
Ostrea lurida,19,NA,10,No Tide,21,24,12,3.948,4.316
Ostrea lurida,19,NA,3,No Tide,21,21,17,3.962,4.724
Ostrea lurida,19,NA,4,Tide,21,15,5,3.963,5.916
Ostrea lurida,19,NA,4,No Tide,21,15,4,3.965,6.352
Ostrea lurida,19,NA,7,Tide,21,15,4,3.967,5.524
Ostrea lurida,19,NA,4,Tide,21,18,7,3.971,5.913
Ostrea lurida,19,NA,2,Tide,15,24,14,3.98,6.217
Ostrea lurida,19,NA,5,No Tide,21,15,5,3.981,6.308
Ostrea lurida,19,NA,5,Tide,15,15,3,3.983,5.8
Ostrea lurida,19,NA,6,Tide,21,18,7,3.987,5.173
Ostrea lurida,19,NA,7,No Tide,21,15,4,3.989,5.011
Ostrea lurida,19,NA,9,No Tide,15,21,20,3.997,5.546
Ostrea lurida,19,NA,1,No Tide,21,18,10,3.998,7.031
Ostrea lurida,19,NA,7,No Tide,15,24,14,3.999,4.293
Ostrea lurida,19,NA,10,No Tide,21,15,3,4.006,5.4
Ostrea lurida,19,NA,3,Tide,21,15,4,4.014,4.441
Ostrea lurida,19,NA,10,Tide,15,18,7,4.025,6.872
Ostrea lurida,19,NA,1,No Tide,15,24,12,4.025,5.023
Ostrea lurida,19,NA,9,Tide,15,15,4,4.028,5.917
Ostrea lurida,19,NA,8,No Tide,21,15,2,4.032,5.468
Ostrea lurida,19,NA,8,No Tide,21,24,14,4.033,5.302
Ostrea lurida,19,NA,7,Tide,15,21,17,4.039,5.851
Ostrea lurida,19,NA,2,Tide,21,18,8,4.044,4.916
Ostrea lurida,19,NA,9,Tide,15,18,10,4.048,5.767
Ostrea lurida,19,NA,1,Tide,21,21,18,4.048,6.32
Ostrea lurida,19,NA,3,Tide,21,24,12,4.053,6.825
Ostrea lurida,19,NA,8,Tide,21,15,4,4.056,4.978
Ostrea lurida,19,NA,8,No Tide,15,18,10,4.062,4.728
Ostrea lurida,19,NA,8,Tide,21,24,11,4.064,5.059
Ostrea lurida,19,NA,10,Tide,15,15,5,4.068,4.916
Ostrea lurida,19,NA,5,Tide,21,15,1,4.07,5.647
Ostrea lurida,19,NA,3,Tide,21,18,9,4.071,5.072
Ostrea lurida,19,NA,6,Tide,15,21,17,4.071,5.005
Ostrea lurida,19,NA,1,Tide,21,18,7,4.074,5.537
Ostrea lurida,19,NA,6,No Tide,15,24,11,4.074,5.469
Ostrea lurida,19,NA,10,Tide,15,15,3,4.075,6.779
Ostrea lurida,19,NA,4,No Tide,21,24,14,4.075,5.168
Ostrea lurida,19,NA,2,No Tide,21,15,1,4.761,4.077
Ostrea lurida,19,NA,9,No Tide,21,15,5,4.077,6.798
Ostrea lurida,19,NA,6,No Tide,21,24,15,4.078,4.828
Ostrea lurida,19,NA,4,No Tide,21,24,13,4.082,6.136
Ostrea lurida,19,NA,6,Tide,21,18,6,4.084,5.785
Ostrea lurida,19,NA,6,Tide,15,18,6,4.086,6.717
Ostrea lurida,19,NA,10,No Tide,21,21,20,4.091,6.142
Ostrea lurida,19,NA,2,Tide,21,24,12,4.095,4.742
Ostrea lurida,19,NA,6,Tide,15,15,2,4.1,6.827
Ostrea lurida,19,NA,9,Tide,15,21,19,4.101,5.13
Ostrea lurida,19,NA,3,Tide,15,21,19,4.104,4.883
Ostrea lurida,19,NA,4,No Tide,15,24,15,4.197,4.105
Ostrea lurida,19,NA,9,Tide,21,15,1,4.111,7.355
Ostrea lurida,19,NA,3,Tide,21,15,3,4.111,5.339
Ostrea lurida,19,NA,3,Tide,21,21,16,4.112,6.455
Ostrea lurida,19,NA,5,Tide,21,21,16,4.115,5.826
Ostrea lurida,19,NA,7,Tide,21,21,18,4.116,5.319
Ostrea lurida,19,NA,2,Tide,21,15,5,4.119,6.645
Ostrea lurida,19,NA,5,No Tide,15,21,19,4.12,5.31
Ostrea lurida,19,NA,7,No Tide,15,21,17,4.123,4.811
Ostrea lurida,19,NA,9,Tide,21,24,13,4.124,7.558
Ostrea lurida,19,NA,1,Tide,15,15,1,4.13,6.851
Ostrea lurida,19,NA,8,Tide,21,18,6,4.13,4.943
Ostrea lurida,19,NA,4,Tide,21,21,18,4.133,4.462
Ostrea lurida,19,NA,10,No Tide,21,24,15,4.141,5.326
Ostrea lurida,19,NA,8,Tide,15,24,14,4.147,6.64
Ostrea lurida,19,NA,9,No Tide,21,15,2,4.156,4.867
Ostrea lurida,19,NA,2,No Tide,21,18,9,4.161,5.464
Ostrea lurida,19,NA,7,No Tide,15,24,15,4.167,6.217
Ostrea lurida,19,NA,2,Tide,15,15,1,4.173,4.251
Ostrea lurida,19,NA,8,No Tide,21,24,15,4.174,5.897
Ostrea lurida,19,NA,6,No Tide,21,15,5,4.177,5.903
Ostrea lurida,19,NA,9,Tide,21,18,9,4.179,5.427
Ostrea lurida,19,NA,4,Tide,15,15,4,4.187,5.657
Ostrea lurida,19,NA,7,Tide,21,18,6,4.191,4.924
Ostrea lurida,19,NA,1,Tide,21,24,15,4.195,5.188
Ostrea lurida,19,NA,2,No Tide,15,18,7,4.205,4.496
Ostrea lurida,19,NA,1,Tide,21,15,4,4.21,4.723
Ostrea lurida,19,NA,1,No Tide,15,18,7,4.211,5.871
Ostrea lurida,19,NA,1,No Tide,21,24,15,4.212,5.217
Ostrea lurida,19,NA,2,No Tide,15,21,17,4.214,4.444
Ostrea lurida,19,NA,7,Tide,21,24,13,4.215,6.404
Ostrea lurida,19,NA,8,No Tide,21,21,20,4.215,5.129
Ostrea lurida,19,NA,2,Tide,15,15,2,4.217,5.944
Ostrea lurida,19,NA,5,Tide,15,18,9,4.219,6.622
Ostrea lurida,19,NA,8,No Tide,15,21,17,4.219,4.601
Ostrea lurida,19,NA,5,No Tide,15,18,7,4.229,5.643
Ostrea lurida,19,NA,3,No Tide,21,18,9,4.235,6.139
Ostrea lurida,19,NA,4,Tide,21,18,10,4.237,5.264
Ostrea lurida,19,NA,7,No Tide,15,18,9,4.239,5.132
Ostrea lurida,19,NA,6,Tide,21,15,2,8.178,4.243
Ostrea lurida,19,NA,2,No Tide,21,18,8,4.246,5.403
Ostrea lurida,19,NA,9,Tide,15,24,13,4.247,5.458
Ostrea lurida,19,NA,5,No Tide,15,18,9,4.25,5.517
Ostrea lurida,19,NA,4,Tide,21,18,6,4.262,7.744
Ostrea lurida,19,NA,2,Tide,21,21,19,4.269,5.147
Ostrea lurida,19,NA,10,No Tide,15,21,19,4.27,6.35
Ostrea lurida,19,NA,7,No Tide,21,21,17,4.271,5.816
Ostrea lurida,19,NA,5,No Tide,15,15,5,4.276,6.284
Ostrea lurida,19,NA,3,Tide,15,21,16,4.283,6.578
Ostrea lurida,19,NA,3,No Tide,15,21,16,4.283,6.205
Ostrea lurida,19,NA,9,No Tide,15,18,6,4.284,6.317
Ostrea lurida,19,NA,4,No Tide,21,24,12,4.287,5.726
Ostrea lurida,19,NA,4,Tide,15,24,15,4.287,5.019
Ostrea lurida,19,NA,5,No Tide,15,15,1,4.289,6.84
Ostrea lurida,19,NA,10,Tide,21,15,1,4.624,4.293
Ostrea lurida,19,NA,10,No Tide,15,21,16,4.293,5.258
Ostrea lurida,19,NA,2,Tide,15,15,5,4.295,5.122
Ostrea lurida,19,NA,1,Tide,21,15,1,4.303,6.29
Ostrea lurida,19,NA,3,Tide,15,24,11,4.304,6.888
Ostrea lurida,19,NA,8,Tide,21,24,13,4.304,6.29
Ostrea lurida,19,NA,4,Tide,15,18,6,4.306,5.743
Ostrea lurida,19,NA,5,No Tide,21,24,12,4.306,5.58
Ostrea lurida,19,NA,1,No Tide,15,24,13,4.311,6.224
Ostrea lurida,19,NA,5,Tide,15,24,14,4.316,4.892
Ostrea lurida,19,NA,7,Tide,21,21,17,4.319,5.246
Ostrea lurida,19,NA,1,Tide,21,24,11,4.327,5.561
Ostrea lurida,19,NA,9,No Tide,15,18,9,4.329,5.341
Ostrea lurida,19,NA,6,No Tide,21,24,12,4.335,5.398
Ostrea lurida,19,NA,6,No Tide,15,21,17,4.338,4.89
Ostrea lurida,19,NA,10,Tide,21,15,5,4.34,5.433
Ostrea lurida,19,NA,9,No Tide,21,24,12,4.346,6.012
Ostrea lurida,19,NA,1,Tide,15,18,6,4.347,6.393
Ostrea lurida,19,NA,3,Tide,21,24,13,4.348,6.549
Ostrea lurida,19,NA,8,No Tide,15,18,9,4.358,5.638
Ostrea lurida,19,NA,4,No Tide,15,24,14,4.366,5.912
Ostrea lurida,19,NA,3,Tide,21,21,17,4.366,5.679
Ostrea lurida,19,NA,5,No Tide,15,21,20,4.367,5.55
Ostrea lurida,19,NA,8,No Tide,21,21,17,4.374,5.655
Ostrea lurida,19,NA,2,Tide,21,15,1,4.378,4.98
Ostrea lurida,19,NA,5,No Tide,21,24,13,4.382,5.523
Ostrea lurida,19,NA,5,No Tide,21,15,1,4.383,6.883
Ostrea lurida,19,NA,6,Tide,21,21,18,4.387,6.586
Ostrea lurida,19,NA,2,Tide,21,18,10,4.393,6.717
Ostrea lurida,19,NA,3,No Tide,15,24,15,4.393,5.742
Ostrea lurida,19,NA,6,Tide,15,18,10,4.395,5.939
Ostrea lurida,19,NA,4,No Tide,21,24,11,4.405,4.643
Ostrea lurida,19,NA,2,Tide,21,24,15,4.406,5.995
Ostrea lurida,19,NA,8,Tide,21,21,19,4.406,5.934
Ostrea lurida,19,NA,9,Tide,15,15,3,4.411,6.267
Ostrea lurida,19,NA,10,No Tide,15,15,4,4.414,5.971
Ostrea lurida,19,NA,10,Tide,15,18,10,4.541,4.424
Ostrea lurida,19,NA,1,No Tide,21,21,18,4.44,6.64
Ostrea lurida,19,NA,9,Tide,15,18,8,4.441,5.627
Ostrea lurida,19,NA,10,No Tide,21,15,4,4.443,6.791
Ostrea lurida,19,NA,9,Tide,15,21,17,4.444,7.085
Ostrea lurida,19,NA,4,No Tide,21,21,19,4.448,6.993
Ostrea lurida,19,NA,8,Tide,15,21,19,4.453,5.539
Ostrea lurida,19,NA,3,Tide,15,21,17,4.457,6.692
Ostrea lurida,19,NA,2,Tide,15,21,20,4.458,4.791
Ostrea lurida,19,NA,8,No Tide,21,24,13,4.469,6.873
Ostrea lurida,19,NA,4,No Tide,15,15,4,4.471,7.907
Ostrea lurida,19,NA,7,No Tide,15,24,11,4.471,5.707
Ostrea lurida,19,NA,9,Tide,15,21,20,4.472,6.313
Ostrea lurida,19,NA,1,No Tide,21,15,2,4.473,7.704
Ostrea lurida,19,NA,2,Tide,15,21,17,4.473,6.031
Ostrea lurida,19,NA,8,No Tide,15,15,1,4.478,5.602
Ostrea lurida,19,NA,3,No Tide,15,24,12,4.482,6.444
Ostrea lurida,19,NA,5,No Tide,15,15,4,4.485,6.864
Ostrea lurida,19,NA,4,No Tide,15,21,20,4.486,5.394
Ostrea lurida,19,NA,7,No Tide,21,24,13,4.489,6.672
Ostrea lurida,19,NA,10,Tide,15,18,8,4.491,6.65
Ostrea lurida,19,NA,1,Tide,15,24,12,4.491,6.083
Ostrea lurida,19,NA,1,No Tide,15,24,15,4.491,6.166
Ostrea lurida,19,NA,7,No Tide,21,15,5,4.495,5.448
Ostrea lurida,19,NA,3,Tide,15,18,9,4.508,4.642
Ostrea lurida,19,NA,7,No Tide,21,24,11,4.511,5.009
Ostrea lurida,19,NA,7,No Tide,21,18,10,4.522,5.475
Ostrea lurida,19,NA,9,Tide,15,24,14,4.523,4.698
Ostrea lurida,19,NA,5,Tide,15,15,4,4.525,5.283
Ostrea lurida,19,NA,4,Tide,15,24,11,4.526,4.777
Ostrea lurida,19,NA,7,No Tide,21,24,14,4.529,5.379
Ostrea lurida,19,NA,5,Tide,21,18,7,4.531,6.023
Ostrea lurida,19,NA,5,No Tide,21,24,11,4.534,5.479
Ostrea lurida,19,NA,6,Tide,15,21,19,4.534,7.197
Ostrea lurida,19,NA,1,No Tide,15,15,2,4.535,5.857
Ostrea lurida,19,NA,5,No Tide,15,24,15,4.536,5.43
Ostrea lurida,19,NA,4,Tide,21,24,14,4.538,6.216
Ostrea lurida,19,NA,2,No Tide,21,18,10,4.545,7.01
Ostrea lurida,19,NA,4,Tide,15,18,7,4.546,5.41
Ostrea lurida,19,NA,8,Tide,15,24,15,4.547,5.421
Ostrea lurida,19,NA,7,Tide,15,21,18,4.553,6.083
Ostrea lurida,19,NA,3,Tide,15,18,6,4.556,6.687
Ostrea lurida,19,NA,8,No Tide,21,21,16,4.556,7.356
Ostrea lurida,19,NA,3,Tide,15,24,12,4.56,5.828
Ostrea lurida,19,NA,9,No Tide,15,15,5,4.562,5.768
Ostrea lurida,19,NA,5,Tide,21,18,9,4.562,6.225
Ostrea lurida,19,NA,1,Tide,15,24,14,4.564,7.123
Ostrea lurida,19,NA,9,No Tide,21,24,14,4.573,6.627
Ostrea lurida,19,NA,9,Tide,21,15,4,4.582,6.759
Ostrea lurida,19,NA,10,Tide,21,21,19,4.588,7.65
Ostrea lurida,19,NA,3,No Tide,15,18,10,4.591,5.869
Ostrea lurida,19,NA,7,Tide,21,15,5,5.585,4.594
Ostrea lurida,19,NA,7,No Tide,21,24,12,4.597,5.889
Ostrea lurida,19,NA,8,No Tide,15,15,4,4.6,5.614
Ostrea lurida,19,NA,8,Tide,15,21,16,4.607,5.354
Ostrea lurida,19,NA,2,No Tide,21,21,17,4.611,6.464
Ostrea lurida,19,NA,9,No Tide,21,21,17,4.612,6.961
Ostrea lurida,19,NA,1,Tide,21,21,20,4.618,5.065
Ostrea lurida,19,NA,4,Tide,15,21,16,4.62,5.684
Ostrea lurida,19,NA,2,Tide,21,18,9,4.621,6.207
Ostrea lurida,19,NA,7,No Tide,15,21,18,4.621,6.437
Ostrea lurida,19,NA,9,No Tide,15,15,4,4.625,6.161
Ostrea lurida,19,NA,7,Tide,21,21,20,4.628,5.631
Ostrea lurida,19,NA,3,Tide,15,18,7,4.64,6.801
Ostrea lurida,19,NA,4,No Tide,15,18,6,4.645,6.153
Ostrea lurida,19,NA,9,No Tide,15,21,19,4.645,7.61
Ostrea lurida,19,NA,9,Tide,15,21,18,4.651,5.69
Ostrea lurida,19,NA,2,No Tide,21,15,3,4.652,5.918
Ostrea lurida,19,NA,7,Tide,15,15,1,4.656,6.708
Ostrea lurida,19,NA,10,Tide,21,18,10,4.659,5.781
Ostrea lurida,19,NA,7,Tide,15,18,10,4.667,5.828
Ostrea lurida,19,NA,7,Tide,15,24,15,4.669,5.136
Ostrea lurida,19,NA,2,No Tide,21,24,15,4.669,6.667
Ostrea lurida,19,NA,9,Tide,15,21,16,4.679,5.984
Ostrea lurida,19,NA,8,Tide,21,21,18,5.047,4.684
Ostrea lurida,19,NA,5,Tide,15,15,5,4.685,4.969
Ostrea lurida,19,NA,3,Tide,21,15,2,6.148,4.694
Ostrea lurida,19,NA,7,Tide,21,18,9,4.696,5.772
Ostrea lurida,19,NA,5,Tide,15,18,10,4.698,5.957
Ostrea lurida,19,NA,6,Tide,15,21,18,4.699,6.033
Ostrea lurida,19,NA,4,No Tide,15,15,3,4.7,7.119
Ostrea lurida,19,NA,10,Tide,21,24,15,4.704,6.408
Ostrea lurida,19,NA,2,Tide,15,18,7,5.086,4.71
Ostrea lurida,19,NA,9,Tide,21,24,15,4.711,6.235
Ostrea lurida,19,NA,4,Tide,21,21,16,4.718,5.888
Ostrea lurida,19,NA,8,Tide,15,24,12,4.722,5.836
Ostrea lurida,19,NA,4,Tide,21,24,15,4.735,5.405
Ostrea lurida,19,NA,4,Tide,21,21,19,4.742,6.925
Ostrea lurida,19,NA,4,No Tide,21,15,2,4.743,7.45
Ostrea lurida,19,NA,8,No Tide,15,24,14,4.885,4.757
Ostrea lurida,19,NA,10,No Tide,21,18,6,4.765,5.948
Ostrea lurida,19,NA,3,No Tide,21,24,14,5.585,4.78
Ostrea lurida,19,NA,10,Tide,15,18,9,4.793,6.734
Ostrea lurida,19,NA,9,No Tide,15,21,18,4.793,7.181
Ostrea lurida,19,NA,7,Tide,15,21,19,4.796,8.034
Ostrea lurida,19,NA,7,No Tide,15,15,5,4.798,6.049
Ostrea lurida,19,NA,4,No Tide,21,21,18,4.799,6.287
Ostrea lurida,19,NA,2,No Tide,15,21,16,4.802,6.723
Ostrea lurida,19,NA,1,Tide,15,15,5,4.805,7.571
Ostrea lurida,19,NA,2,Tide,15,18,9,5.169,4.806
Ostrea lurida,19,NA,9,Tide,21,21,19,4.811,5.403
Ostrea lurida,19,NA,8,No Tide,15,24,11,4.817,4.841
Ostrea lurida,19,NA,3,Tide,15,21,20,4.818,5.404
Ostrea lurida,19,NA,9,No Tide,15,24,14,4.819,6.384
Ostrea lurida,19,NA,2,Tide,15,18,10,4.822,4.99
Ostrea lurida,19,NA,4,Tide,21,15,2,7.798,4.823
Ostrea lurida,19,NA,7,Tide,21,21,16,4.826,5.164
Ostrea lurida,19,NA,5,Tide,21,15,2,4.827,5.835
Ostrea lurida,19,NA,1,No Tide,15,24,14,4.937,4.827
Ostrea lurida,19,NA,2,No Tide,21,21,20,4.828,6.347
Ostrea lurida,19,NA,3,No Tide,15,24,11,4.835,5.506
Ostrea lurida,19,NA,9,No Tide,21,18,9,4.836,5.969
Ostrea lurida,19,NA,9,No Tide,15,24,15,4.837,5.751
Ostrea lurida,19,NA,2,Tide,21,21,20,4.837,5.54
Ostrea lurida,19,NA,4,No Tide,15,24,13,4.852,5.736
Ostrea lurida,19,NA,4,No Tide,15,21,18,4.854,5.602
Ostrea lurida,19,NA,7,No Tide,21,24,15,4.857,6.362
Ostrea lurida,19,NA,4,Tide,15,21,17,4.857,5.606
Ostrea lurida,19,NA,5,Tide,15,18,7,4.858,6.112
Ostrea lurida,19,NA,8,Tide,21,24,14,4.86,5.175
Ostrea lurida,19,NA,9,No Tide,21,18,7,4.862,5.86
Ostrea lurida,19,NA,9,No Tide,21,21,18,4.865,6.347
Ostrea lurida,19,NA,1,No Tide,15,24,11,4.871,6.005
Ostrea lurida,19,NA,1,No Tide,15,15,4,4.874,7.415
Ostrea lurida,19,NA,1,Tide,21,24,12,4.896,4.874
Ostrea lurida,19,NA,4,No Tide,15,21,19,4.882,6.001
Ostrea lurida,19,NA,8,No Tide,21,21,19,4.886,5.862
Ostrea lurida,19,NA,6,No Tide,21,24,11,4.895,4.888
Ostrea lurida,19,NA,6,No Tide,21,24,14,4.892,5.659
Ostrea lurida,19,NA,8,Tide,15,15,3,4.894,6.468
Ostrea lurida,19,NA,4,Tide,21,18,9,4.895,5.696
Ostrea lurida,19,NA,2,Tide,15,24,13,4.902,6.615
Ostrea lurida,19,NA,3,No Tide,15,18,6,4.907,5.309
Ostrea lurida,19,NA,10,No Tide,15,24,11,4.908,5.145
Ostrea lurida,19,NA,1,No Tide,15,18,9,4.91,5.378
Ostrea lurida,19,NA,8,Tide,21,24,12,4.911,5.289
Ostrea lurida,19,NA,8,Tide,21,21,17,4.911,5.846
Ostrea lurida,19,NA,7,Tide,15,24,11,4.922,5.974
Ostrea lurida,19,NA,6,No Tide,15,18,10,5.297,4.934
Ostrea lurida,19,NA,1,Tide,21,21,19,4.934,5.842
Ostrea lurida,19,NA,3,Tide,15,21,18,4.94,7.404
Ostrea lurida,19,NA,4,No Tide,15,15,5,4.943,6.444
Ostrea lurida,19,NA,4,No Tide,15,18,10,4.945,8.592
Ostrea lurida,19,NA,2,No Tide,21,24,11,4.951,6.065
Ostrea lurida,19,NA,2,Tide,21,24,14,5.067,4.953
Ostrea lurida,19,NA,8,Tide,21,15,5,4.954,5.719
Ostrea lurida,19,NA,4,Tide,15,18,9,4.965,5.254
Ostrea lurida,19,NA,8,No Tide,21,21,18,4.971,5.738
