Species,Day,Date,Rep,Batch,Tank,L,W
Ostrea lurida,1,NA,1,B: 18/24,2,7.595,9.667
Ostrea lurida,1,NA,2,B: 18/24,2,7.151,7.595
Ostrea lurida,1,NA,3,B: 18/24,2,7.389,5.851
Ostrea lurida,1,NA,4,B: 18/24,2,4.35,4.599
Ostrea lurida,1,NA,5,B: 18/24,2,6.18,6.648
Ostrea lurida,1,NA,6,B: 18/24,2,7.037,5.458
Ostrea lurida,1,NA,7,B: 18/24,2,7.175,7.222
Ostrea lurida,1,NA,8,B: 18/24,2,6.244,4.447
Ostrea lurida,1,NA,9,B: 18/24,2,4.85,2.97
Ostrea lurida,1,NA,10,B: 18/24,2,8.412,6.547
Ostrea lurida,1,NA,1,A: 15/21,3,5.717,4.866
Ostrea lurida,1,NA,2,A: 15/21,3,5.283,4.559
Ostrea lurida,1,NA,3,A: 15/21,3,4.498,3.795
Ostrea lurida,1,NA,4,A: 15/21,3,5.767,5.236
Ostrea lurida,1,NA,5,A: 15/21,3,6.922,6.683
Ostrea lurida,1,NA,6,A: 15/21,3,4.945,3.783
Ostrea lurida,1,NA,7,A: 15/21,3,6.347,4.358
Ostrea lurida,1,NA,8,A: 15/21,3,3.277,3.419
Ostrea lurida,1,NA,9,A: 15/21,3,5.136,3.911
Ostrea lurida,1,NA,10,A: 15/21,3,5.933,4.555
Ostrea lurida,1,NA,1,B: 18/24,3,5.189,5.981
Ostrea lurida,1,NA,2,B: 18/24,3,6.511,5.367
Ostrea lurida,1,NA,3,B: 18/24,3,7.289,4.761
Ostrea lurida,1,NA,4,B: 18/24,3,3.814,2.535
Ostrea lurida,1,NA,5,B: 18/24,3,5.139,4.132
Ostrea lurida,1,NA,6,B: 18/24,3,7.265,5.157
Ostrea lurida,1,NA,7,B: 18/24,3,5.735,4.933
Ostrea lurida,1,NA,8,B: 18/24,3,7.941,6.716
Ostrea lurida,1,NA,9,B: 18/24,3,6.787,5.596
Ostrea lurida,1,NA,10,B: 18/24,3,5.774,4.869
Ostrea lurida,1,NA,1,A: 15/21,4,7.815,7.622
Ostrea lurida,1,NA,2,A: 15/21,4,5.795,4.447
Ostrea lurida,1,NA,3,A: 15/21,4,6.457,5.37
Ostrea lurida,1,NA,4,A: 15/21,4,7.692,6.55
Ostrea lurida,1,NA,5,A: 15/21,4,8.134,5.843
Ostrea lurida,1,NA,6,A: 15/21,4,7.787,5.975
Ostrea lurida,1,NA,7,A: 15/21,4,6.704,8.145
Ostrea lurida,1,NA,8,A: 15/21,4,6.669,6.724
Ostrea lurida,1,NA,9,A: 15/21,4,7.329,6.502
Ostrea lurida,1,NA,10,A: 15/21,4,7.868,5.489
Ostrea lurida,1,NA,1,B: 18/24,4,4.967,3.45
Ostrea lurida,1,NA,2,B: 18/24,4,7.374,5.591
Ostrea lurida,1,NA,3,B: 18/24,4,5.411,5.53
Ostrea lurida,1,NA,4,B: 18/24,4,4.154,3.976
Ostrea lurida,1,NA,5,B: 18/24,4,6.678,5.493
Ostrea lurida,1,NA,6,B: 18/24,4,5.547,4.82
Ostrea lurida,1,NA,7,B: 18/24,4,4.938,4.944
Ostrea lurida,1,NA,8,B: 18/24,4,6.737,5.81
Ostrea lurida,1,NA,9,B: 18/24,4,6.198,4.676
Ostrea lurida,1,NA,10,B: 18/24,4,5.859,5.455
Ostrea lurida,1,NA,1,A: 15/21,5,6.886,5.227
Ostrea lurida,1,NA,2,A: 15/21,5,7.436,6.431
Ostrea lurida,1,NA,3,A: 15/21,5,5.13,4.298
Ostrea lurida,1,NA,4,A: 15/21,5,5.424,5.633
Ostrea lurida,1,NA,5,A: 15/21,5,7.129,5.455
Ostrea lurida,1,NA,6,A: 15/21,5,5.576,4.675
Ostrea lurida,1,NA,7,A: 15/21,5,4.745,3.333
Ostrea lurida,1,NA,8,A: 15/21,5,8.556,6.913
Ostrea lurida,1,NA,9,A: 15/21,5,6.249,6.249
Ostrea lurida,1,NA,10,A: 15/21,5,4.222,4.444
Ostrea lurida,1,NA,1,B: 18/24,5,5.261,4.875
Ostrea lurida,1,NA,2,B: 18/24,5,3.821,3.102
Ostrea lurida,1,NA,3,B: 18/24,5,5.235,4.123
Ostrea lurida,1,NA,4,B: 18/24,5,5.977,4.894
Ostrea lurida,1,NA,5,B: 18/24,5,4.95,3.896
Ostrea lurida,1,NA,6,B: 18/24,5,3.986,3.888
Ostrea lurida,1,NA,7,B: 18/24,5,5.257,3.869
Ostrea lurida,1,NA,8,B: 18/24,5,5.22,5.814
Ostrea lurida,1,NA,9,B: 18/24,5,6.66,5.424
Ostrea lurida,1,NA,10,B: 18/24,5,5.436,3.465
Ostrea lurida,1,NA,1,A: 15/21,6,4.17,3.639
Ostrea lurida,1,NA,2,A: 15/21,6,5.853,4.177
Ostrea lurida,1,NA,3,A: 15/21,6,7.575,5.853
Ostrea lurida,1,NA,4,A: 15/21,6,8.255,7.783
Ostrea lurida,1,NA,5,A: 15/21,6,5.797,4.813
Ostrea lurida,1,NA,6,A: 15/21,6,4.563,4.015
Ostrea lurida,1,NA,7,A: 15/21,6,4.596,4.292
Ostrea lurida,1,NA,8,A: 15/21,6,5.964,3.988
Ostrea lurida,1,NA,9,A: 15/21,6,6.373,5.55
Ostrea lurida,1,NA,10,A: 15/21,6,8.109,7.02
Ostrea lurida,1,NA,1,B: 18/24,6,8.945,6.966
Ostrea lurida,1,NA,2,B: 18/24,6,5.848,3.578
Ostrea lurida,1,NA,3,B: 18/24,6,5.879,3.62
Ostrea lurida,1,NA,4,B: 18/24,6,5.147,4.531
Ostrea lurida,1,NA,5,B: 18/24,6,5.773,5.145
Ostrea lurida,1,NA,6,B: 18/24,6,5.789,4.982
Ostrea lurida,1,NA,7,B: 18/24,6,5.625,4.684
Ostrea lurida,1,NA,8,B: 18/24,6,7.664,6.666
Ostrea lurida,1,NA,9,B: 18/24,6,5.519,4.38
Ostrea lurida,1,NA,10,B: 18/24,6,6.704,4.893
Ostrea lurida,1,NA,1,A: 15/21,7,5.971,5.009
Ostrea lurida,1,NA,2,A: 15/21,7,8.205,5.554
Ostrea lurida,1,NA,3,A: 15/21,7,6.647,7.164
Ostrea lurida,1,NA,4,A: 15/21,7,7.739,5.629
Ostrea lurida,1,NA,5,A: 15/21,7,5.441,4.407
Ostrea lurida,1,NA,6,A: 15/21,7,6.558,5.625
Ostrea lurida,1,NA,7,A: 15/21,7,6.319,4.928
Ostrea lurida,1,NA,8,A: 15/21,7,4.759,3.129
Ostrea lurida,1,NA,9,A: 15/21,7,8.538,6.324
Ostrea lurida,1,NA,10,A: 15/21,7,4.955,5.611
Ostrea lurida,1,NA,1,B: 18/24,7,6.516,4.052
Ostrea lurida,1,NA,2,B: 18/24,7,5.344,5.344
Ostrea lurida,1,NA,3,B: 18/24,7,4.448,4.877
Ostrea lurida,1,NA,4,B: 18/24,7,5.182,4.84
Ostrea lurida,1,NA,5,B: 18/24,7,7.663,4.121
Ostrea lurida,1,NA,6,B: 18/24,7,6.24,5.74
Ostrea lurida,1,NA,7,B: 18/24,7,7.697,6.184
Ostrea lurida,1,NA,8,B: 18/24,7,5.509,3.684
Ostrea lurida,1,NA,9,B: 18/24,7,7.215,4.724
Ostrea lurida,1,NA,10,B: 18/24,7,7.844,6.38
Ostrea lurida,1,NA,1,A: 15/21,8,8.068,5.689
Ostrea lurida,1,NA,2,A: 15/21,8,5.253,6.433
Ostrea lurida,1,NA,3,A: 15/21,8,5.245,3.534
Ostrea lurida,1,NA,4,A: 15/21,8,6.123,5.18
Ostrea lurida,1,NA,5,A: 15/21,8,5.298,5.867
Ostrea lurida,1,NA,6,A: 15/21,8,5.5,4.801
Ostrea lurida,1,NA,7,A: 15/21,8,8.129,5.79
Ostrea lurida,1,NA,8,A: 15/21,8,8.214,6.893
Ostrea lurida,1,NA,9,A: 15/21,8,7.52,5.295
Ostrea lurida,1,NA,10,A: 15/21,8,4.195,3.341
Ostrea lurida,1,NA,1,B: 18/24,8,5.944,4.067
Ostrea lurida,1,NA,2,B: 18/24,8,7.232,4.747
Ostrea lurida,1,NA,3,B: 18/24,8,5.331,6.049
Ostrea lurida,1,NA,4,B: 18/24,8,4.687,3.733
Ostrea lurida,1,NA,5,B: 18/24,8,6.159,5.099
Ostrea lurida,1,NA,6,B: 18/24,8,7.107,6.684
Ostrea lurida,1,NA,7,B: 18/24,8,5.331,3.914
Ostrea lurida,1,NA,8,B: 18/24,8,4.717,4.495
Ostrea lurida,1,NA,9,B: 18/24,8,6.295,5.162
Ostrea lurida,1,NA,10,B: 18/24,8,6.525,4.671
Ostrea lurida,1,NA,1,A: 15/21,9,6.72,5.906
Ostrea lurida,1,NA,2,A: 15/21,9,5.134,4.477
Ostrea lurida,1,NA,3,A: 15/21,9,5.871,3.681
Ostrea lurida,1,NA,4,A: 15/21,9,5.219,4.42
Ostrea lurida,1,NA,5,A: 15/21,9,4.907,3.984
Ostrea lurida,1,NA,6,A: 15/21,9,8.337,6.559
Ostrea lurida,1,NA,7,A: 15/21,9,5.773,5.682
Ostrea lurida,1,NA,8,A: 15/21,9,7.686,7.409
Ostrea lurida,1,NA,9,A: 15/21,9,8.711,6.045
Ostrea lurida,1,NA,10,A: 15/21,9,6.766,4.587
Ostrea lurida,1,NA,1,B: 18/24,9,6.174,6.304
Ostrea lurida,1,NA,2,B: 18/24,9,6.172,3.506
Ostrea lurida,1,NA,3,B: 18/24,9,8.445,6.458
Ostrea lurida,1,NA,4,B: 18/24,9,5.617,4.45
Ostrea lurida,1,NA,5,B: 18/24,9,5.605,4.272
Ostrea lurida,1,NA,6,B: 18/24,9,6.787,5.933
Ostrea lurida,1,NA,7,B: 18/24,9,7.811,5.059
Ostrea lurida,1,NA,8,B: 18/24,9,8.359,4.136
Ostrea lurida,1,NA,9,B: 18/24,9,6.397,4.092
Ostrea lurida,1,NA,10,B: 18/24,9,4.611,3.067
Ostrea lurida,1,NA,1,A: 15/21,10,4.112,3.337
Ostrea lurida,1,NA,2,A: 15/21,10,7.398,6.059
Ostrea lurida,1,NA,3,A: 15/21,10,2.683,2.662
Ostrea lurida,1,NA,4,A: 15/21,10,6.297,5.833
Ostrea lurida,1,NA,5,A: 15/21,10,6.486,6.389
Ostrea lurida,1,NA,6,A: 15/21,10,3.636,2.709
Ostrea lurida,1,NA,7,A: 15/21,10,5.292,4.3
Ostrea lurida,1,NA,8,A: 15/21,10,6.859,4.734
Ostrea lurida,1,NA,9,A: 15/21,10,4.727,4.422
Ostrea lurida,1,NA,10,A: 15/21,10,6.339,4.904
Ostrea lurida,1,NA,1,B: 18/24,10,5.256,3.961
Ostrea lurida,1,NA,2,B: 18/24,10,4.989,3.092
Ostrea lurida,1,NA,3,B: 18/24,10,5.881,5.51
Ostrea lurida,1,NA,4,B: 18/24,10,5.787,5.144
Ostrea lurida,1,NA,5,B: 18/24,10,6.259,6.423
Ostrea lurida,1,NA,6,B: 18/24,10,5.49,5.167
Ostrea lurida,1,NA,7,B: 18/24,10,5.457,5.002
Ostrea lurida,1,NA,8,B: 18/24,10,7.06,4.944
Ostrea lurida,1,NA,9,B: 18/24,10,3.217,2.907
Ostrea lurida,1,NA,10,B: 18/24,10,2.85,2.761
Ostrea lurida,1,NA,1,A: 15/21,11,7.721,4.599
Ostrea lurida,1,NA,2,A: 15/21,11,4.768,3.867
Ostrea lurida,1,NA,3,A: 15/21,11,4.777,4.928
Ostrea lurida,1,NA,4,A: 15/21,11,4.085,3.734
Ostrea lurida,1,NA,5,A: 15/21,11,5.378,4.035
Ostrea lurida,1,NA,6,A: 15/21,11,6.663,4.966
Ostrea lurida,1,NA,7,A: 15/21,11,3.888,3.232
Ostrea lurida,1,NA,8,A: 15/21,11,6.899,4.646
Ostrea lurida,1,NA,9,A: 15/21,11,5.92,6.15
Ostrea lurida,1,NA,10,A: 15/21,11,4.657,3.076
Ostrea lurida,1,NA,1,B: 18/24,11,8.002,5.217
Ostrea lurida,1,NA,2,B: 18/24,11,7.957,7.155
Ostrea lurida,1,NA,3,B: 18/24,11,5.733,4.241
Ostrea lurida,1,NA,4,B: 18/24,11,5.954,6.368
Ostrea lurida,1,NA,5,B: 18/24,11,7.279,6.201
Ostrea lurida,1,NA,6,B: 18/24,11,5.746,3.534
Ostrea lurida,1,NA,7,B: 18/24,11,6.419,5.169
Ostrea lurida,1,NA,8,B: 18/24,11,6.877,7.572
Ostrea lurida,1,NA,9,B: 18/24,11,4.586,3.053
Ostrea lurida,1,NA,10,B: 18/24,11,5.875,6.108
Ostrea lurida,1,NA,1,A: 15/21,12,5.592,5.635
Ostrea lurida,1,NA,2,A: 15/21,12,7.403,5.99
Ostrea lurida,1,NA,3,A: 15/21,12,5.957,5.716
Ostrea lurida,1,NA,4,A: 15/21,12,5.866,6.031
Ostrea lurida,1,NA,5,A: 15/21,12,6.771,3.716
Ostrea lurida,1,NA,6,A: 15/21,12,5.503,4.917
Ostrea lurida,1,NA,7,A: 15/21,12,6.97,7.381
Ostrea lurida,1,NA,8,A: 15/21,12,5.054,4.009
Ostrea lurida,1,NA,9,A: 15/21,12,4.158,2.116
Ostrea lurida,1,NA,10,A: 15/21,12,4.638,3.844
Ostrea lurida,1,NA,1,B: 18/24,12,5.929,3.579
Ostrea lurida,1,NA,2,B: 18/24,12,5.933,4.781
Ostrea lurida,1,NA,3,B: 18/24,12,6.022,4.465
Ostrea lurida,1,NA,4,B: 18/24,12,7.167,5.358
Ostrea lurida,1,NA,5,B: 18/24,12,5.978,4.098
Ostrea lurida,1,NA,6,B: 18/24,12,7.838,6.327
Ostrea lurida,1,NA,7,B: 18/24,12,4.18,3.949
Ostrea lurida,1,NA,8,B: 18/24,12,4.349,3.369
Ostrea lurida,1,NA,9,B: 18/24,12,7.271,4.187
Ostrea lurida,1,NA,10,B: 18/24,12,6.536,4.739
Ostrea lurida,1,NA,1,A: 15/21,13,6.8,5.117
Ostrea lurida,1,NA,2,A: 15/21,13,5.086,4.442
Ostrea lurida,1,NA,3,A: 15/21,13,5.929,5.721
Ostrea lurida,1,NA,4,A: 15/21,13,6.867,5.765
Ostrea lurida,1,NA,5,A: 15/21,13,6.443,5.042
Ostrea lurida,1,NA,6,A: 15/21,13,4.023,2.751
Ostrea lurida,1,NA,7,A: 15/21,13,7.844,7.18
Ostrea lurida,1,NA,8,A: 15/21,13,5.483,5.092
Ostrea lurida,1,NA,9,A: 15/21,13,6.818,6.3
Ostrea lurida,1,NA,10,A: 15/21,13,7.584,5.101
Ostrea lurida,1,NA,1,B: 18/24,13,5.554,3.477
Ostrea lurida,1,NA,2,B: 18/24,13,5.299,4.575
Ostrea lurida,1,NA,3,B: 18/24,13,6.541,4.916
Ostrea lurida,1,NA,4,B: 18/24,13,6.552,4.626
Ostrea lurida,1,NA,5,B: 18/24,13,6.842,4.305
Ostrea lurida,1,NA,6,B: 18/24,13,7.567,7.26
Ostrea lurida,1,NA,7,B: 18/24,13,6.191,5.15
Ostrea lurida,1,NA,8,B: 18/24,13,7.343,6.645
Ostrea lurida,1,NA,9,B: 18/24,13,6.451,6.394
Ostrea lurida,1,NA,10,B: 18/24,13,5.373,4.941
Ostrea lurida,1,NA,1,A: 15/21,14,5.486,5.842
Ostrea lurida,1,NA,2,A: 15/21,14,7.1,5.696
Ostrea lurida,1,NA,3,A: 15/21,14,4.775,5.903
Ostrea lurida,1,NA,4,A: 15/21,14,6.675,7.252
Ostrea lurida,1,NA,5,A: 15/21,14,4.343,3.452
Ostrea lurida,1,NA,6,A: 15/21,14,5.679,4.27
Ostrea lurida,1,NA,7,A: 15/21,14,7.424,7.009
Ostrea lurida,1,NA,8,A: 15/21,14,4.92,3.67
Ostrea lurida,1,NA,9,A: 15/21,14,7.661,6.2
Ostrea lurida,1,NA,10,A: 15/21,14,5.27,4.704
Ostrea lurida,1,NA,1,B: 18/24,14,7.503,6.644
Ostrea lurida,1,NA,2,B: 18/24,14,7.712,6.456
Ostrea lurida,1,NA,3,B: 18/24,14,7.33,6.001
Ostrea lurida,1,NA,4,B: 18/24,14,3.922,3.483
Ostrea lurida,1,NA,5,B: 18/24,14,7.489,7.322
Ostrea lurida,1,NA,6,B: 18/24,14,5.862,3.839
Ostrea lurida,1,NA,7,B: 18/24,14,7.982,8.359
Ostrea lurida,1,NA,8,B: 18/24,14,8.906,5.95
Ostrea lurida,1,NA,9,B: 18/24,14,6.896,5.972
Ostrea lurida,1,NA,10,B: 18/24,14,9.536,8.552
Ostrea lurida,1,NA,1,A: 15/21,15,4.078,4.057
Ostrea lurida,1,NA,2,A: 15/21,15,6.429,4.87
Ostrea lurida,1,NA,3,A: 15/21,15,5.731,4.692
Ostrea lurida,1,NA,4,A: 15/21,15,4.989,5.218
Ostrea lurida,1,NA,5,A: 15/21,15,6.063,4.69
Ostrea lurida,1,NA,6,A: 15/21,15,3.865,3.179
Ostrea lurida,1,NA,7,A: 15/21,15,6.89,6.068
Ostrea lurida,1,NA,8,A: 15/21,15,5.902,5.463
Ostrea lurida,1,NA,9,A: 15/21,15,4.239,2.985
Ostrea lurida,1,NA,10,A: 15/21,15,4.694,3.619
Ostrea lurida,1,NA,1,B: 18/24,15,7.56,5.106
Ostrea lurida,1,NA,2,B: 18/24,15,5.859,3.961
Ostrea lurida,1,NA,3,B: 18/24,15,6.457,6.158
Ostrea lurida,1,NA,4,B: 18/24,15,7.276,5.536
Ostrea lurida,1,NA,5,B: 18/24,15,5.261,5.525
Ostrea lurida,1,NA,6,B: 18/24,15,6.659,4.914
Ostrea lurida,1,NA,7,B: 18/24,15,5.892,5.285
Ostrea lurida,1,NA,8,B: 18/24,15,6.557,8.449
Ostrea lurida,1,NA,9,B: 18/24,15,5.327,3.252
Ostrea lurida,1,NA,10,B: 18/24,15,5.473,4.06
Ostrea lurida,1,NA,1,A: 15/21,16,5.753,3.419
Ostrea lurida,1,NA,2,A: 15/21,16,5.094,5.135
Ostrea lurida,1,NA,3,A: 15/21,16,4.29,2.992
Ostrea lurida,1,NA,4,A: 15/21,16,7.22,5.722
Ostrea lurida,1,NA,5,A: 15/21,16,5.103,3.55
Ostrea lurida,1,NA,6,A: 15/21,16,5.933,3.931
Ostrea lurida,1,NA,7,A: 15/21,16,6.569,4.07
Ostrea lurida,1,NA,8,A: 15/21,16,3.923,2.583
Ostrea lurida,1,NA,9,A: 15/21,16,5.637,3.661
Ostrea lurida,1,NA,10,A: 15/21,16,5.625,3.903
Ostrea lurida,1,NA,1,B: 18/24,16,8.191,5.578
Ostrea lurida,1,NA,2,B: 18/24,16,5.356,3.27
Ostrea lurida,1,NA,3,B: 18/24,16,3.959,4.302
Ostrea lurida,1,NA,4,B: 18/24,16,6.508,3.482
Ostrea lurida,1,NA,5,B: 18/24,16,4.984,4.372
Ostrea lurida,1,NA,6,B: 18/24,16,7.082,5.622
Ostrea lurida,1,NA,7,B: 18/24,16,6.767,5.275
Ostrea lurida,1,NA,8,B: 18/24,16,7.616,7.743
Ostrea lurida,1,NA,9,B: 18/24,16,6.157,6.021
Ostrea lurida,1,NA,10,B: 18/24,16,6.469,5.959
Ostrea lurida,1,NA,1,A: 15/21,17,5.209,3.823
Ostrea lurida,1,NA,2,A: 15/21,17,5.59,4.74
Ostrea lurida,1,NA,3,A: 15/21,17,5.625,5.335
Ostrea lurida,1,NA,4,A: 15/21,17,4.455,4.098
Ostrea lurida,1,NA,5,A: 15/21,17,4.841,3.463
Ostrea lurida,1,NA,6,A: 15/21,17,6.276,4.574
Ostrea lurida,1,NA,7,A: 15/21,17,7.449,4.665
Ostrea lurida,1,NA,8,A: 15/21,17,4.498,4.429
Ostrea lurida,1,NA,9,A: 15/21,17,7.231,5.576
Ostrea lurida,1,NA,10,A: 15/21,17,4.884,5.111
Ostrea lurida,1,NA,1,B: 18/24,17,4.148,3.06
Ostrea lurida,1,NA,2,B: 18/24,17,4.617,3.048
Ostrea lurida,1,NA,3,B: 18/24,17,5.49,4.807
Ostrea lurida,1,NA,4,B: 18/24,17,4.172,2.461
Ostrea lurida,1,NA,5,B: 18/24,17,6.544,3.526
Ostrea lurida,1,NA,6,B: 18/24,17,6.794,4.951
Ostrea lurida,1,NA,7,B: 18/24,17,6.461,4.294
Ostrea lurida,1,NA,8,B: 18/24,17,4.87,2.74
Ostrea lurida,1,NA,9,B: 18/24,17,5.872,4.039
Ostrea lurida,1,NA,10,B: 18/24,17,5.03,3.805
Ostrea lurida,1,NA,1,A: 15/21,18,3.381,2.256
Ostrea lurida,1,NA,2,A: 15/21,18,7.532,6.122
Ostrea lurida,1,NA,3,A: 15/21,18,7.298,5.28
Ostrea lurida,1,NA,4,A: 15/21,18,5.914,4.628
Ostrea lurida,1,NA,5,A: 15/21,18,4.777,3.062
Ostrea lurida,1,NA,6,A: 15/21,18,4.923,3.288
Ostrea lurida,1,NA,7,A: 15/21,18,6.197,5.696
Ostrea lurida,1,NA,8,A: 15/21,18,6.561,5.574
Ostrea lurida,1,NA,9,A: 15/21,18,5.469,3.002
Ostrea lurida,1,NA,10,A: 15/21,18,6.756,4.578
Ostrea lurida,1,NA,1,B: 18/24,18,7.802,8.995
Ostrea lurida,1,NA,2,B: 18/24,18,3.433,3.523
Ostrea lurida,1,NA,3,B: 18/24,18,5.019,3.834
Ostrea lurida,1,NA,4,B: 18/24,18,3.611,2.435
Ostrea lurida,1,NA,5,B: 18/24,18,6.007,4.333
Ostrea lurida,1,NA,6,B: 18/24,18,4.681,4.092
Ostrea lurida,1,NA,7,B: 18/24,18,7.211,6.259
Ostrea lurida,1,NA,8,B: 18/24,18,5.596,4.092
Ostrea lurida,1,NA,9,B: 18/24,18,6.321,3.895
Ostrea lurida,1,NA,10,B: 18/24,18,4.662,5.302
Ostrea lurida,1,NA,1,A: 15/21,19,5.507,4.652
Ostrea lurida,1,NA,2,A: 15/21,19,6.054,4.721
Ostrea lurida,1,NA,3,A: 15/21,19,5.672,6.075
Ostrea lurida,1,NA,4,A: 15/21,19,8.658,5.517
Ostrea lurida,1,NA,5,A: 15/21,19,7.013,5.978
Ostrea lurida,1,NA,6,A: 15/21,19,7.866,5.497
Ostrea lurida,1,NA,7,A: 15/21,19,6.913,6.882
Ostrea lurida,1,NA,8,A: 15/21,19,6.958,3.579
Ostrea lurida,1,NA,9,A: 15/21,19,8.042,6.806
Ostrea lurida,1,NA,10,A: 15/21,19,6.207,4.325
Ostrea lurida,1,NA,1,B: 18/24,19,7.557,4.292
Ostrea lurida,1,NA,2,B: 18/24,19,5.635,4.035
Ostrea lurida,1,NA,3,B: 18/24,19,5.819,3.153
Ostrea lurida,1,NA,4,B: 18/24,19,5.724,4.323
Ostrea lurida,1,NA,5,B: 18/24,19,5.176,3.933
Ostrea lurida,1,NA,6,B: 18/24,19,5.546,3.628
Ostrea lurida,1,NA,7,B: 18/24,19,6.977,5.658
Ostrea lurida,1,NA,8,B: 18/24,19,5.207,4.928
Ostrea lurida,1,NA,9,B: 18/24,19,7.467,6.472
Ostrea lurida,1,NA,10,B: 18/24,19,5.846,5.195
Ostrea lurida,1,NA,1,A: 15/21,20,6.092,3.954
Ostrea lurida,1,NA,2,A: 15/21,20,7.773,6.17
Ostrea lurida,1,NA,3,A: 15/21,20,6.77,5.944
Ostrea lurida,1,NA,4,A: 15/21,20,3.81,2.631
Ostrea lurida,1,NA,5,A: 15/21,20,2.506,2.182
Ostrea lurida,1,NA,6,A: 15/21,20,6.243,5.919
Ostrea lurida,1,NA,7,A: 15/21,20,6.002,4.136
Ostrea lurida,1,NA,8,A: 15/21,20,4.356,3.233
Ostrea lurida,1,NA,9,A: 15/21,20,3.29,3.365
Ostrea lurida,1,NA,10,A: 15/21,20,2.758,2.508
Ostrea lurida,1,NA,1,B: 18/24,20,4.226,2.866
Ostrea lurida,1,NA,2,B: 18/24,20,4.952,4.59
Ostrea lurida,1,NA,3,B: 18/24,20,6.708,6.23
Ostrea lurida,1,NA,4,B: 18/24,20,5.669,3.354
Ostrea lurida,1,NA,5,B: 18/24,20,7.613,3.915
Ostrea lurida,1,NA,6,B: 18/24,20,5.004,5.43
Ostrea lurida,1,NA,7,B: 18/24,20,5.644,4.162
Ostrea lurida,1,NA,8,B: 18/24,20,6.197,6.344
Ostrea lurida,1,NA,9,B: 18/24,20,8.652,4.742
Ostrea lurida,1,NA,10,B: 18/24,20,3.476,2.74
